"event","trial","time","trialtype","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id"
"blur","0","0","blurevent","1","","","",""
"","","","","","pavlovia","0","2","0.0-0.0"
"focus","1","4103","focusevent","","","","",""
