"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"pavlovia","0","4","0.0-0.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","","",""
"instructions","1","7499","0.0-1.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":7495}]","7495","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","","fullscreenenter","2","15139","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","16129","0.0-2.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","","","","","","true","","","","","","","","","","","",""
"instructions","3","95357","0.0-4.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":47002},{""page_index"":1,""viewing_time"":32225}]","79227","","","","","","","","","","","","","","","","",""
"instructions","4","97004","0.0-5.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":1646}]","1646","","","","","","","","","","","","","","","","",""
"image-keyboard-response","5","102173","0.0-6.0-1.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","5062","","","","rating","","trustrating_stim/white_mw066.bmp","8","","","","","","","","","",""
"image-keyboard-response","6","102375","0.0-6.0-2.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","",""
"image-keyboard-response","7","103324","0.0-6.0-1.1","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","846","","","","rating","","trustrating_stim/white_mw006.bmp","2","","","","","","","","","",""
"image-keyboard-response","8","103529","0.0-6.0-2.1","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw006.bmp","null","","","","","","","","","",""
"image-keyboard-response","9","104028","0.0-6.0-1.2","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","394","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","3","","","","","","","","","",""
"image-keyboard-response","10","104233","0.0-6.0-2.2","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","11","104676","0.0-6.0-1.3","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","343","","","","rating","","trustrating_stim/white_00657_941121_fa_edt.bmp","7","","","","","","","","","",""
"image-keyboard-response","12","104880","0.0-6.0-2.3","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","13","105292","0.0-6.0-1.4","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","309","","","","rating","","trustrating_stim/white_mw072.bmp","4","","","","","","","","","",""
"image-keyboard-response","14","105493","0.0-6.0-2.4","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","null","","","","ratingFB","","trustrating_stim/white_mw072.bmp","null","","","","","","","","","",""
"instructions","15","109869","0.0-7.0","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","[{""page_index"":0,""viewing_time"":4272}]","4272","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","","fullscreenexit","16","548529","fullscreenexit","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Wed Nov 18 2020 14:06:21 GMT-0500 (Eastern Standard Time)","2000124","Untrustworthy,Trustworthy","","","blur","16","558247","blurevent","","","","1","","","","","","","","",""
