PROLIFIC_PID,totalTime,PID,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
5f2f86864fd821374b4367bc,317.618,,0.3795024918292689,0.43103663134013426,-1.0,208.77904362247625,0.006768032086410375,0.7803030303030303,0.007575757575757576,0.8712121212121212,2.0,0.0,0.0,0.8333333333333334,0.6,0.0
61492ac26b91b5b11ba2c88b,504.727,,0.1839583646170989,0.16904627412647616,-0.8649415604739009,192.7074772393351,3.320049199322437e-10,0.0,0.0,0.1590909090909091,7.36,0.0,0.0,0.0,29.62,0.0
60234c1d5a0cf81cba76ce5d,1140.393,,0.01429893896151424,0.8473309864054296,-0.16087874748534015,210.37064349471265,0.04162660992608437,0.0,0.05303030303030303,0.1590909090909091,22.99,0.0,0.3333333333333333,0.0,56.12,0.0
6362aca86b740b1ec4cb6efb,635.299,,0.09820146629956542,0.9999546021312976,-1.0,173.19137445097417,7.964024526823147e-19,0.3712121212121212,0.007575757575757576,0.20454545454545456,1.86,0.0,0.16666666666666666,0.0,65.18,4.0
60fcd2b146529d02f1566012,442.68,,0.11125308377702355,0.9999546021312976,-1.0,182.46823168377045,9.70439612231643e-15,0.0,0.0,0.38636363636363635,7.45,0.0,0.0,0.3333333333333333,24.14,0.0
63ed12d2c25b08ba24fe8a41,496.667,,0.5235965769956961,0.4765613904295072,0.07630354193087038,171.68761243934728,1.7381462668274472e-19,0.0,0.0,0.2196969696969697,6.32,0.0,0.0,0.3333333333333333,16.07,1.0
5d412a9013864b0015b14b31,324.832,,0.03754840671967365,4.5397868702434395e-05,-0.551766580414504,209.6063060078105,0.017169181337278423,0.6590909090909091,0.0,0.3484848484848485,4.58,0.0,0.0,0.0,19.13,0.0
62ec219e5f3634408fb35580,462.284,,0.0768827590091127,0.9999546021312976,0.6054175460208772,201.5864818739901,3.1570784766824566e-06,0.1893939393939394,0.0,0.38636363636363635,10.25,0.0,0.0,0.0,29.29,0.0
594936ad4152bf0001bfd5cd,407.559,,0.626152200547187,0.8654138575735171,0.04626320174760621,173.81179834548033,1.4926401262571854e-18,0.0,0.0,0.3181818181818182,6.83,0.0,0.0,0.0,10.92,0.0
63d842d3e9626bd5fe5c17b1,675.732,,0.039050880079343105,0.9999546021312976,1.0,203.7206682092197,2.9492201406540756e-05,0.803030303030303,0.0,0.7121212121212122,9.1,0.0,0.0,0.0,47.24,1.0
