"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","numBlurs"
"pavlovia","0","8","0.0-0.0","","","","","","",""
"instructions","1","1987","0.0-1.0","[{""page_index"":0,""viewing_time"":1977}]","1977","","","","",""
"","","","","","","blur","2","12607","blurevent","1"
"","","","","","","focus","2","12608","focusevent",""
"","","","","","","blur","2","12637","blurevent",""
