"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","4","0.0-0.0","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","","","","","","","","","","","","","","","","",""
"instructions","1","3396","0.0-1.0","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","[{""page_index"":0,""viewing_time"":3392}]","3392","","","","","","","","","","","","","","","",""
"","","","","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","","fullscreenenter","2","6447","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","7429","0.0-2.0","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","","","","","","true","","","","","","","","","","",""
"instructions","3","58940","0.0-4.0","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","[{""page_index"":0,""viewing_time"":51510}]","51510","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","60740","0.0-5.0-1.0","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","1797","","","","choice","","img/2to1/1.png","2","225","214","0.5","0.5","2","3","","",""
"animation","5","62028","0.0-5.0-2.0","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","","","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":298},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":497},{""stimulus"":""img/2to3/6.png"",""time"":596},{""stimulus"":""img/2to3/7.png"",""time"":695},{""stimulus"":""img/2to3/8.png"",""time"":793},{""stimulus"":""img/2to3/9.png"",""time"":892},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1091},{""stimulus"":""img/2to3/12.png"",""time"":1190}]","[]",""
"image-keyboard-response","6","62501","0.0-5.0-1.1","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","null","","","","observe","","img/3to2/1.png","null","224","472","0.5","0.5","3","2","","",""
"animation","7","63790","0.0-5.0-2.1","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","","","","","","","","","224","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":100},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":298},{""stimulus"":""img/3to2/4.png"",""time"":397},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":594},{""stimulus"":""img/3to2/7.png"",""time"":695},{""stimulus"":""img/3to2/8.png"",""time"":793},{""stimulus"":""img/3to2/9.png"",""time"":891},{""stimulus"":""img/3to2/10.png"",""time"":991},{""stimulus"":""img/3to2/11.png"",""time"":1090},{""stimulus"":""img/3to2/12.png"",""time"":1188}]","[]",""
"image-keyboard-response","8","64635","0.0-5.0-1.2","64023a98627b1116180dff0b","bdp_cybrbll","Sun Mar 26 2023 02:21:59 GMT-0400 (Eastern Daylight Time)","495933","1","3","","844","","","","choice","","img/2to1/1.png","1","223","1466","0.5","0.5","2","1","","",""
