"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"instructions","1","1866","0.0-1.0","[{""page_index"":0,""viewing_time"":1864}]","1864","","","","","","","","","","","","","","","",""
"","","","","","","fullscreenenter","2","4308","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","5301","0.0-2.0","","","","","","","true","","","","","","","","","","",""
"instructions","3","8235","0.0-4.0","[{""page_index"":0,""viewing_time"":2933}]","2933","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","13390","0.0-5.0-1.0","","5154","","","","","","img/2to1/1.png","1","225","750","0.6","0.6","2","1","","",""
"animation","5","14704","0.0-5.0-2.0","","","","","","","","","","225","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":109},{""stimulus"":""img/2to1/2.png"",""time"":217},{""stimulus"":""img/2to1/3.png"",""time"":301},{""stimulus"":""img/2to1/4.png"",""time"":417},{""stimulus"":""img/2to1/5.png"",""time"":509},{""stimulus"":""img/2to1/6.png"",""time"":615},{""stimulus"":""img/2to1/7.png"",""time"":704},{""stimulus"":""img/2to1/8.png"",""time"":817},{""stimulus"":""img/2to1/9.png"",""time"":909},{""stimulus"":""img/2to1/10.png"",""time"":1019},{""stimulus"":""img/2to1/11.png"",""time"":1104},{""stimulus"":""img/2to1/12.png"",""time"":1221}]","[]",""
"image-keyboard-response","6","15470","0.0-5.0-1.1","","null","","","","","","img/1to3/1.png","null","224","750","0.6","0.6","1","3","","",""
"animation","7","16786","0.0-5.0-2.1","","","","","","","","","","224","750","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":207},{""stimulus"":""img/1to3/3.png"",""time"":308},{""stimulus"":""img/1to3/4.png"",""time"":417},{""stimulus"":""img/1to3/5.png"",""time"":509},{""stimulus"":""img/1to3/6.png"",""time"":619},{""stimulus"":""img/1to3/7.png"",""time"":704},{""stimulus"":""img/1to3/8.png"",""time"":820},{""stimulus"":""img/1to3/9.png"",""time"":912},{""stimulus"":""img/1to3/10.png"",""time"":1019},{""stimulus"":""img/1to3/11.png"",""time"":1112},{""stimulus"":""img/1to3/12.png"",""time"":1220}]","[]",""
"image-keyboard-response","8","17547","0.0-5.0-1.2","","null","","","","","","img/3to2/1.png","null","223","750","0.6","0.6","3","2","","",""
"animation","9","18854","0.0-5.0-2.2","","","","","","","","","","223","750","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":216},{""stimulus"":""img/3to2/3.png"",""time"":310},{""stimulus"":""img/3to2/4.png"",""time"":403},{""stimulus"":""img/3to2/5.png"",""time"":516},{""stimulus"":""img/3to2/6.png"",""time"":612},{""stimulus"":""img/3to2/7.png"",""time"":720},{""stimulus"":""img/3to2/8.png"",""time"":813},{""stimulus"":""img/3to2/9.png"",""time"":920},{""stimulus"":""img/3to2/10.png"",""time"":1013},{""stimulus"":""img/3to2/11.png"",""time"":1107},{""stimulus"":""img/3to2/12.png"",""time"":1213}]","[]",""
