"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","instructions","1","1914","0.0-1.0","[{""page_index"":0,""viewing_time"":1909}]","1909","","","","","","","","","","","",""
"blur","2","4138","blurevent","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","","","","","","","1","","","","","","","","","","",""
"focus","2","4150","focusevent","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","4185","fullscreenexit","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","","","","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","fullscreen","2","4927","0.0-2.0","","","","true","","","","","","","","","",""
"","","","fullscreenfail","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","image-keyboard-response","3","5457","0.0-3.0-0.0","","525","","","","32","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","instructions","4","6651","0.0-4.0","[{""page_index"":0,""viewing_time"":937}]","937","","","","","","","","","","","",""
"","","","blurwarn","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","image-keyboard-response","5","8378","0.0-5.0-0.0-0.0","","1725","1","","","49","","","","","","","",""
"","","","choice","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","image-keyboard-response","6","14725","0.0-5.0-1.0","","6087","","","img/2to1/1.png","2","225","501","0.5","0.5","2","3","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","animation","7","16066","0.0-5.0-2.0","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":105},{""stimulus"":""img/2to3/2.png"",""time"":208},{""stimulus"":""img/2to3/3.png"",""time"":312},{""stimulus"":""img/2to3/4.png"",""time"":416},{""stimulus"":""img/2to3/5.png"",""time"":518},{""stimulus"":""img/2to3/6.png"",""time"":621},{""stimulus"":""img/2to3/7.png"",""time"":725},{""stimulus"":""img/2to3/8.png"",""time"":829},{""stimulus"":""img/2to3/9.png"",""time"":933},{""stimulus"":""img/2to3/10.png"",""time"":1037},{""stimulus"":""img/2to3/11.png"",""time"":1136},{""stimulus"":""img/2to3/12.png"",""time"":1236}]","[]"
"","","","observe","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","image-keyboard-response","8","16356","0.0-5.0-1.1","","null","","","img/3to2/1.png","null","224","282","0.5","0.5","3","2","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","animation","9","17703","0.0-5.0-2.1","","","","","","","224","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":103},{""stimulus"":""img/3to2/2.png"",""time"":206},{""stimulus"":""img/3to2/3.png"",""time"":308},{""stimulus"":""img/3to2/4.png"",""time"":412},{""stimulus"":""img/3to2/5.png"",""time"":515},{""stimulus"":""img/3to2/6.png"",""time"":620},{""stimulus"":""img/3to2/7.png"",""time"":724},{""stimulus"":""img/3to2/8.png"",""time"":829},{""stimulus"":""img/3to2/9.png"",""time"":932},{""stimulus"":""img/3to2/10.png"",""time"":1035},{""stimulus"":""img/3to2/11.png"",""time"":1139},{""stimulus"":""img/3to2/12.png"",""time"":1243}]","[]"
"","","","choice","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","image-keyboard-response","10","18280","0.0-5.0-1.2","","575","","","img/2to1/1.png","1","223","424","0.5","0.5","2","1","",""
"","","","","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","animation","11","19621","0.0-5.0-2.2","","","","","","","223","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":204},{""stimulus"":""img/2to1/3.png"",""time"":308},{""stimulus"":""img/2to1/4.png"",""time"":410},{""stimulus"":""img/2to1/5.png"",""time"":514},{""stimulus"":""img/2to1/6.png"",""time"":618},{""stimulus"":""img/2to1/7.png"",""time"":722},{""stimulus"":""img/2to1/8.png"",""time"":827},{""stimulus"":""img/2to1/9.png"",""time"":930},{""stimulus"":""img/2to1/10.png"",""time"":1035},{""stimulus"":""img/2to1/11.png"",""time"":1137},{""stimulus"":""img/2to1/12.png"",""time"":1241}]","[]"
"","","","observe","6005fd9c8bbd67931607e518","bdp_cybrbll","Sun Mar 26 2023 09:20:25 GMT-0700 (Pacific Daylight Time)","417297","3","1","image-keyboard-response","12","19805","0.0-5.0-1.3","","null","","","img/1to3/1.png","null","222","180","0.5","0.5","1","2","",""
