"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","","","","","","","","","","","","","","",""
"instructions","1","1714","0.0-1.0","[{""page_index"":0,""viewing_time"":1712}]","1712","","","","","","","","","","","","","","","",""
"","","","","","","fullscreenenter","2","4839","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","5822","0.0-2.0","","","","","","","true","","","","","","","","","","",""
"instructions","3","8791","0.0-4.0","[{""page_index"":0,""viewing_time"":2968}]","2968","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","16233","0.0-5.0-1.0","","7439","","","","","","img/2to1/1.png","1","225","750","0.6","0.6","2","1","","",""
"animation","5","17537","0.0-5.0-2.0","","","","","","","","","","225","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":104},{""stimulus"":""img/2to1/2.png"",""time"":206},{""stimulus"":""img/2to1/3.png"",""time"":305},{""stimulus"":""img/2to1/4.png"",""time"":407},{""stimulus"":""img/2to1/5.png"",""time"":504},{""stimulus"":""img/2to1/6.png"",""time"":609},{""stimulus"":""img/2to1/7.png"",""time"":707},{""stimulus"":""img/2to1/8.png"",""time"":809},{""stimulus"":""img/2to1/9.png"",""time"":905},{""stimulus"":""img/2to1/10.png"",""time"":1009},{""stimulus"":""img/2to1/11.png"",""time"":1104},{""stimulus"":""img/2to1/12.png"",""time"":1207}]","[]",""
"image-keyboard-response","6","18297","0.0-5.0-1.1","","null","","","","","","img/1to3/1.png","null","224","750","0.6","0.6","1","3","","",""
"animation","7","19602","0.0-5.0-2.1","","","","","","","","","","224","750","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":106},{""stimulus"":""img/1to3/2.png"",""time"":208},{""stimulus"":""img/1to3/3.png"",""time"":306},{""stimulus"":""img/1to3/4.png"",""time"":407},{""stimulus"":""img/1to3/5.png"",""time"":504},{""stimulus"":""img/1to3/6.png"",""time"":607},{""stimulus"":""img/1to3/7.png"",""time"":706},{""stimulus"":""img/1to3/8.png"",""time"":807},{""stimulus"":""img/1to3/9.png"",""time"":903},{""stimulus"":""img/1to3/10.png"",""time"":1007},{""stimulus"":""img/1to3/11.png"",""time"":1102},{""stimulus"":""img/1to3/12.png"",""time"":1208}]","[]",""
"image-keyboard-response","8","20362","0.0-5.0-1.2","","null","","","","","","img/3to2/1.png","null","223","750","0.6","0.6","3","2","","",""
"animation","9","21668","0.0-5.0-2.2","","","","","","","","","","223","750","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":106},{""stimulus"":""img/3to2/2.png"",""time"":208},{""stimulus"":""img/3to2/3.png"",""time"":305},{""stimulus"":""img/3to2/4.png"",""time"":409},{""stimulus"":""img/3to2/5.png"",""time"":504},{""stimulus"":""img/3to2/6.png"",""time"":609},{""stimulus"":""img/3to2/7.png"",""time"":702},{""stimulus"":""img/3to2/8.png"",""time"":809},{""stimulus"":""img/3to2/9.png"",""time"":904},{""stimulus"":""img/3to2/10.png"",""time"":1009},{""stimulus"":""img/3to2/11.png"",""time"":1105},{""stimulus"":""img/3to2/12.png"",""time"":1209}]","[]",""
"image-keyboard-response","10","21978","0.0-5.0-1.3","","310","","","","","","img/2to1/1.png","2","222","750","0.6","0.6","2","3","","",""
"animation","11","23289","0.0-5.0-2.3","","","","","","","","","","222","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":102},{""stimulus"":""img/2to3/2.png"",""time"":209},{""stimulus"":""img/2to3/3.png"",""time"":312},{""stimulus"":""img/2to3/4.png"",""time"":406},{""stimulus"":""img/2to3/5.png"",""time"":505},{""stimulus"":""img/2to3/6.png"",""time"":609},{""stimulus"":""img/2to3/7.png"",""time"":709},{""stimulus"":""img/2to3/8.png"",""time"":809},{""stimulus"":""img/2to3/9.png"",""time"":911},{""stimulus"":""img/2to3/10.png"",""time"":1009},{""stimulus"":""img/2to3/11.png"",""time"":1109},{""stimulus"":""img/2to3/12.png"",""time"":1209}]","[]",""
