"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","numBlurs","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"","","","","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","focus","4","122336","focusevent","","","","","","","","","","","","","",""
"instructions","4","204176","0.0-4.0","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","[{""page_index"":0,""viewing_time"":137993}]","137994","","","","","","","","","","","",""
"image-keyboard-response","5","235063","0.0-5.0-0.0-0.0","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","blurwarn","","30882","","","49","1","","","","","","","",""
"image-keyboard-response","6","238575","0.0-5.0-1.0","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","3255","","img/2to1/1.png","1","","225","568","0.5","0.5","2","1","",""
"animation","7","239980","0.0-5.0-2.0","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":102},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":319},{""stimulus"":""img/2to1/4.png"",""time"":427},{""stimulus"":""img/2to1/5.png"",""time"":535},{""stimulus"":""img/2to1/6.png"",""time"":645},{""stimulus"":""img/2to1/7.png"",""time"":755},{""stimulus"":""img/2to1/8.png"",""time"":863},{""stimulus"":""img/2to1/9.png"",""time"":971},{""stimulus"":""img/2to1/10.png"",""time"":1080},{""stimulus"":""img/2to1/11.png"",""time"":1189},{""stimulus"":""img/2to1/12.png"",""time"":1296}]","[]"
"image-keyboard-response","8","240665","0.0-5.0-1.1","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","224","680","0.5","0.5","1","2","",""
"animation","9","242073","0.0-5.0-2.1","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":107},{""stimulus"":""img/1to2/2.png"",""time"":215},{""stimulus"":""img/1to2/3.png"",""time"":324},{""stimulus"":""img/1to2/4.png"",""time"":432},{""stimulus"":""img/1to2/5.png"",""time"":541},{""stimulus"":""img/1to2/6.png"",""time"":649},{""stimulus"":""img/1to2/7.png"",""time"":758},{""stimulus"":""img/1to2/8.png"",""time"":866},{""stimulus"":""img/1to2/9.png"",""time"":973},{""stimulus"":""img/1to2/10.png"",""time"":1081},{""stimulus"":""img/1to2/11.png"",""time"":1190},{""stimulus"":""img/1to2/12.png"",""time"":1300}]","[]"
"image-keyboard-response","10","245110","0.0-5.0-1.2","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","3036","","img/2to1/1.png","1","","223","1603","0.5","0.5","2","1","",""
"animation","11","246513","0.0-5.0-2.2","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","223","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":102},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":318},{""stimulus"":""img/2to1/4.png"",""time"":427},{""stimulus"":""img/2to1/5.png"",""time"":535},{""stimulus"":""img/2to1/6.png"",""time"":641},{""stimulus"":""img/2to1/7.png"",""time"":750},{""stimulus"":""img/2to1/8.png"",""time"":859},{""stimulus"":""img/2to1/9.png"",""time"":968},{""stimulus"":""img/2to1/10.png"",""time"":1076},{""stimulus"":""img/2to1/11.png"",""time"":1186},{""stimulus"":""img/2to1/12.png"",""time"":1294}]","[]"
"image-keyboard-response","12","247027","0.0-5.0-1.3","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","222","499","0.5","0.5","1","2","",""
"animation","13","248439","0.0-5.0-2.3","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","222","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":219},{""stimulus"":""img/1to2/3.png"",""time"":325},{""stimulus"":""img/1to2/4.png"",""time"":437},{""stimulus"":""img/1to2/5.png"",""time"":545},{""stimulus"":""img/1to2/6.png"",""time"":653},{""stimulus"":""img/1to2/7.png"",""time"":762},{""stimulus"":""img/1to2/8.png"",""time"":871},{""stimulus"":""img/1to2/9.png"",""time"":980},{""stimulus"":""img/1to2/10.png"",""time"":1087},{""stimulus"":""img/1to2/11.png"",""time"":1195},{""stimulus"":""img/1to2/12.png"",""time"":1304}]","[]"
"image-keyboard-response","14","251397","0.0-5.0-1.4","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","2957","","img/2to1/1.png","2","","221","771","0.5","0.5","2","3","",""
"animation","15","252821","0.0-5.0-2.4","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","221","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":111},{""stimulus"":""img/2to3/2.png"",""time"":219},{""stimulus"":""img/2to3/3.png"",""time"":331},{""stimulus"":""img/2to3/4.png"",""time"":440},{""stimulus"":""img/2to3/5.png"",""time"":548},{""stimulus"":""img/2to3/6.png"",""time"":659},{""stimulus"":""img/2to3/7.png"",""time"":768},{""stimulus"":""img/2to3/8.png"",""time"":877},{""stimulus"":""img/2to3/9.png"",""time"":986},{""stimulus"":""img/2to3/10.png"",""time"":1096},{""stimulus"":""img/2to3/11.png"",""time"":1203},{""stimulus"":""img/2to3/12.png"",""time"":1314}]","[]"
"image-keyboard-response","16","253504","0.0-5.0-1.5","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/3to2/1.png","null","","220","668","0.5","0.5","3","1","",""
"animation","17","254920","0.0-5.0-2.5","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","220","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":110},{""stimulus"":""img/3to1/2.png"",""time"":217},{""stimulus"":""img/3to1/3.png"",""time"":326},{""stimulus"":""img/3to1/4.png"",""time"":436},{""stimulus"":""img/3to1/5.png"",""time"":545},{""stimulus"":""img/3to1/6.png"",""time"":653},{""stimulus"":""img/3to1/7.png"",""time"":760},{""stimulus"":""img/3to1/8.png"",""time"":870},{""stimulus"":""img/3to1/9.png"",""time"":980},{""stimulus"":""img/3to1/10.png"",""time"":1091},{""stimulus"":""img/3to1/11.png"",""time"":1200},{""stimulus"":""img/3to1/12.png"",""time"":1309}]","[]"
"image-keyboard-response","18","255479","0.0-5.0-1.6","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","219","554","0.5","0.5","1","2","",""
"animation","19","256890","0.0-5.0-2.6","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","219","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":217},{""stimulus"":""img/1to2/3.png"",""time"":325},{""stimulus"":""img/1to2/4.png"",""time"":434},{""stimulus"":""img/1to2/5.png"",""time"":543},{""stimulus"":""img/1to2/6.png"",""time"":650},{""stimulus"":""img/1to2/7.png"",""time"":757},{""stimulus"":""img/1to2/8.png"",""time"":865},{""stimulus"":""img/1to2/9.png"",""time"":974},{""stimulus"":""img/1to2/10.png"",""time"":1082},{""stimulus"":""img/1to2/11.png"",""time"":1192},{""stimulus"":""img/1to2/12.png"",""time"":1299}]","[]"
"image-keyboard-response","20","257407","0.0-5.0-1.7","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","515","","img/2to1/1.png","2","","218","399","0.5","0.5","2","3","",""
"animation","21","258815","0.0-5.0-2.7","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","218","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":104},{""stimulus"":""img/2to3/2.png"",""time"":213},{""stimulus"":""img/2to3/3.png"",""time"":321},{""stimulus"":""img/2to3/4.png"",""time"":430},{""stimulus"":""img/2to3/5.png"",""time"":538},{""stimulus"":""img/2to3/6.png"",""time"":646},{""stimulus"":""img/2to3/7.png"",""time"":755},{""stimulus"":""img/2to3/8.png"",""time"":863},{""stimulus"":""img/2to3/9.png"",""time"":971},{""stimulus"":""img/2to3/10.png"",""time"":1082},{""stimulus"":""img/2to3/11.png"",""time"":1190},{""stimulus"":""img/2to3/12.png"",""time"":1300}]","[]"
"image-keyboard-response","22","259170","0.0-5.0-1.8","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/3to2/1.png","null","","217","350","0.5","0.5","3","1","",""
"animation","23","260579","0.0-5.0-2.8","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","217","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":106},{""stimulus"":""img/3to1/2.png"",""time"":214},{""stimulus"":""img/3to1/3.png"",""time"":324},{""stimulus"":""img/3to1/4.png"",""time"":431},{""stimulus"":""img/3to1/5.png"",""time"":540},{""stimulus"":""img/3to1/6.png"",""time"":648},{""stimulus"":""img/3to1/7.png"",""time"":757},{""stimulus"":""img/3to1/8.png"",""time"":866},{""stimulus"":""img/3to1/9.png"",""time"":974},{""stimulus"":""img/3to1/10.png"",""time"":1083},{""stimulus"":""img/3to1/11.png"",""time"":1191},{""stimulus"":""img/3to1/12.png"",""time"":1299}]","[]"
"image-keyboard-response","24","260873","0.0-5.0-1.9","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","216","289","0.5","0.5","1","2","",""
"animation","25","262282","0.0-5.0-2.9","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","216","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":216},{""stimulus"":""img/1to2/3.png"",""time"":324},{""stimulus"":""img/1to2/4.png"",""time"":432},{""stimulus"":""img/1to2/5.png"",""time"":540},{""stimulus"":""img/1to2/6.png"",""time"":648},{""stimulus"":""img/1to2/7.png"",""time"":757},{""stimulus"":""img/1to2/8.png"",""time"":867},{""stimulus"":""img/1to2/9.png"",""time"":977},{""stimulus"":""img/1to2/10.png"",""time"":1084},{""stimulus"":""img/1to2/11.png"",""time"":1193},{""stimulus"":""img/1to2/12.png"",""time"":1300}]","[]"
"image-keyboard-response","26","262901","0.0-5.0-1.10","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","617","","img/2to1/1.png","2","","215","679","0.5","0.5","2","3","",""
"animation","27","264318","0.0-5.0-2.10","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","215","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":112},{""stimulus"":""img/2to3/2.png"",""time"":222},{""stimulus"":""img/2to3/3.png"",""time"":329},{""stimulus"":""img/2to3/4.png"",""time"":437},{""stimulus"":""img/2to3/5.png"",""time"":547},{""stimulus"":""img/2to3/6.png"",""time"":654},{""stimulus"":""img/2to3/7.png"",""time"":763},{""stimulus"":""img/2to3/8.png"",""time"":870},{""stimulus"":""img/2to3/9.png"",""time"":978},{""stimulus"":""img/2to3/10.png"",""time"":1090},{""stimulus"":""img/2to3/11.png"",""time"":1199},{""stimulus"":""img/2to3/12.png"",""time"":1308}]","[]"
"image-keyboard-response","28","264550","0.0-5.0-1.11","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/3to2/1.png","null","","214","219","0.5","0.5","3","1","",""
"animation","29","265957","0.0-5.0-2.11","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","214","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":323},{""stimulus"":""img/3to1/4.png"",""time"":432},{""stimulus"":""img/3to1/5.png"",""time"":540},{""stimulus"":""img/3to1/6.png"",""time"":647},{""stimulus"":""img/3to1/7.png"",""time"":756},{""stimulus"":""img/3to1/8.png"",""time"":864},{""stimulus"":""img/3to1/9.png"",""time"":972},{""stimulus"":""img/3to1/10.png"",""time"":1081},{""stimulus"":""img/3to1/11.png"",""time"":1189},{""stimulus"":""img/3to1/12.png"",""time"":1297}]","[]"
"image-keyboard-response","30","267145","0.0-5.0-1.12","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","213","1177","0.5","0.5","1","2","",""
"animation","31","268556","0.0-5.0-2.12","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","213","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":216},{""stimulus"":""img/1to2/3.png"",""time"":323},{""stimulus"":""img/1to2/4.png"",""time"":434},{""stimulus"":""img/1to2/5.png"",""time"":541},{""stimulus"":""img/1to2/6.png"",""time"":649},{""stimulus"":""img/1to2/7.png"",""time"":758},{""stimulus"":""img/1to2/8.png"",""time"":867},{""stimulus"":""img/1to2/9.png"",""time"":975},{""stimulus"":""img/1to2/10.png"",""time"":1085},{""stimulus"":""img/1to2/11.png"",""time"":1193},{""stimulus"":""img/1to2/12.png"",""time"":1301}]","[]"
"image-keyboard-response","32","270366","0.0-5.0-1.13","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","1810","","img/2to1/1.png","2","","212","835","0.5","0.5","2","3","",""
"animation","33","271775","0.0-5.0-2.13","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","212","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":110},{""stimulus"":""img/2to3/2.png"",""time"":217},{""stimulus"":""img/2to3/3.png"",""time"":325},{""stimulus"":""img/2to3/4.png"",""time"":435},{""stimulus"":""img/2to3/5.png"",""time"":542},{""stimulus"":""img/2to3/6.png"",""time"":649},{""stimulus"":""img/2to3/7.png"",""time"":758},{""stimulus"":""img/2to3/8.png"",""time"":866},{""stimulus"":""img/2to3/9.png"",""time"":975},{""stimulus"":""img/2to3/10.png"",""time"":1082},{""stimulus"":""img/2to3/11.png"",""time"":1192},{""stimulus"":""img/2to3/12.png"",""time"":1300}]","[]"
"image-keyboard-response","34","272086","0.0-5.0-1.14","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/3to2/1.png","null","","211","301","0.5","0.5","3","1","",""
"animation","35","273495","0.0-5.0-2.14","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","211","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":107},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":325},{""stimulus"":""img/3to1/4.png"",""time"":432},{""stimulus"":""img/3to1/5.png"",""time"":541},{""stimulus"":""img/3to1/6.png"",""time"":649},{""stimulus"":""img/3to1/7.png"",""time"":758},{""stimulus"":""img/3to1/8.png"",""time"":866},{""stimulus"":""img/3to1/9.png"",""time"":976},{""stimulus"":""img/3to1/10.png"",""time"":1084},{""stimulus"":""img/3to1/11.png"",""time"":1192},{""stimulus"":""img/3to1/12.png"",""time"":1300}]","[]"
"image-keyboard-response","36","274052","0.0-5.0-1.15","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","210","547","0.5","0.5","1","2","",""
"animation","37","275465","0.0-5.0-2.15","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","210","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":219},{""stimulus"":""img/1to2/3.png"",""time"":329},{""stimulus"":""img/1to2/4.png"",""time"":438},{""stimulus"":""img/1to2/5.png"",""time"":546},{""stimulus"":""img/1to2/6.png"",""time"":654},{""stimulus"":""img/1to2/7.png"",""time"":764},{""stimulus"":""img/1to2/8.png"",""time"":871},{""stimulus"":""img/1to2/9.png"",""time"":979},{""stimulus"":""img/1to2/10.png"",""time"":1090},{""stimulus"":""img/1to2/11.png"",""time"":1197},{""stimulus"":""img/1to2/12.png"",""time"":1305}]","[]"
"image-keyboard-response","38","275910","0.0-5.0-1.16","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","443","","img/2to1/1.png","2","","209","483","0.5","0.5","2","3","",""
"animation","39","277325","0.0-5.0-2.16","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","209","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":111},{""stimulus"":""img/2to3/2.png"",""time"":222},{""stimulus"":""img/2to3/3.png"",""time"":330},{""stimulus"":""img/2to3/4.png"",""time"":439},{""stimulus"":""img/2to3/5.png"",""time"":546},{""stimulus"":""img/2to3/6.png"",""time"":656},{""stimulus"":""img/2to3/7.png"",""time"":763},{""stimulus"":""img/2to3/8.png"",""time"":871},{""stimulus"":""img/2to3/9.png"",""time"":980},{""stimulus"":""img/2to3/10.png"",""time"":1090},{""stimulus"":""img/2to3/11.png"",""time"":1200},{""stimulus"":""img/2to3/12.png"",""time"":1309}]","[]"
"image-keyboard-response","40","277866","0.0-5.0-1.17","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/3to2/1.png","null","","208","534","0.5","0.5","3","1","",""
"animation","41","279273","0.0-5.0-2.17","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","208","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":325},{""stimulus"":""img/3to1/4.png"",""time"":434},{""stimulus"":""img/3to1/5.png"",""time"":542},{""stimulus"":""img/3to1/6.png"",""time"":651},{""stimulus"":""img/3to1/7.png"",""time"":760},{""stimulus"":""img/3to1/8.png"",""time"":868},{""stimulus"":""img/3to1/9.png"",""time"":975},{""stimulus"":""img/3to1/10.png"",""time"":1083},{""stimulus"":""img/3to1/11.png"",""time"":1190},{""stimulus"":""img/3to1/12.png"",""time"":1298}]","[]"
"image-keyboard-response","42","279769","0.0-5.0-1.18","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/1to3/1.png","null","","207","495","0.5","0.5","1","2","",""
"animation","43","281179","0.0-5.0-2.18","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","207","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":107},{""stimulus"":""img/1to2/2.png"",""time"":214},{""stimulus"":""img/1to2/3.png"",""time"":324},{""stimulus"":""img/1to2/4.png"",""time"":432},{""stimulus"":""img/1to2/5.png"",""time"":541},{""stimulus"":""img/1to2/6.png"",""time"":648},{""stimulus"":""img/1to2/7.png"",""time"":757},{""stimulus"":""img/1to2/8.png"",""time"":865},{""stimulus"":""img/1to2/9.png"",""time"":972},{""stimulus"":""img/1to2/10.png"",""time"":1080},{""stimulus"":""img/1to2/11.png"",""time"":1191},{""stimulus"":""img/1to2/12.png"",""time"":1299}]","[]"
"image-keyboard-response","44","281646","0.0-5.0-1.19","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","465","","img/2to1/1.png","2","","206","498","0.5","0.5","2","3","",""
"animation","45","283054","0.0-5.0-2.19","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","206","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":105},{""stimulus"":""img/2to3/2.png"",""time"":215},{""stimulus"":""img/2to3/3.png"",""time"":323},{""stimulus"":""img/2to3/4.png"",""time"":429},{""stimulus"":""img/2to3/5.png"",""time"":538},{""stimulus"":""img/2to3/6.png"",""time"":648},{""stimulus"":""img/2to3/7.png"",""time"":753},{""stimulus"":""img/2to3/8.png"",""time"":864},{""stimulus"":""img/2to3/9.png"",""time"":970},{""stimulus"":""img/2to3/10.png"",""time"":1081},{""stimulus"":""img/2to3/11.png"",""time"":1189},{""stimulus"":""img/2to3/12.png"",""time"":1299}]","[]"
"image-keyboard-response","46","283802","0.0-5.0-1.20","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","observe","","null","","img/3to2/1.png","null","","205","734","0.5","0.5","3","2","",""
"animation","47","285214","0.0-5.0-2.20","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","","","","","","","","205","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":218},{""stimulus"":""img/3to2/3.png"",""time"":327},{""stimulus"":""img/3to2/4.png"",""time"":436},{""stimulus"":""img/3to2/5.png"",""time"":545},{""stimulus"":""img/3to2/6.png"",""time"":654},{""stimulus"":""img/3to2/7.png"",""time"":763},{""stimulus"":""img/3to2/8.png"",""time"":872},{""stimulus"":""img/3to2/9.png"",""time"":980},{""stimulus"":""img/3to2/10.png"",""time"":1088},{""stimulus"":""img/3to2/11.png"",""time"":1197},{""stimulus"":""img/3to2/12.png"",""time"":1306}]","[]"
"image-keyboard-response","48","285845","0.0-5.0-1.21","632aaef27780d596dc7e0a9f","bdp_cybrbll","Wed Mar 29 2023 12:52:38 GMT-0500 (Central Daylight Time)","680318","1","3","","","","choice","","630","","img/2to1/1.png","1","","204","789","0.5","0.5","2","1","",""
