"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","","","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","instructions","1","1781","0.0-1.0","[{""page_index"":0,""viewing_time"":1778}]","1778","","","","","","","","","","",""
"fullscreenexit","2","3922","fullscreenexit","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","","","","","","","","","","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","fullscreen","2","4694","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","image-keyboard-response","3","5348","0.0-3.0-0.0","","650","","","32","","","","","","","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","instructions","4","39631","0.0-4.0","[{""page_index"":0,""viewing_time"":34027}]","34027","","","","","","","","","","",""
"","","","choice","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","image-keyboard-response","5","41469","0.0-5.0-1.0","","1836","","img/2to1/1.png","2","225","354","0.5","0.5","2","3","",""
"","","","","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","animation","6","42824","0.0-5.0-2.0","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":105},{""stimulus"":""img/2to3/2.png"",""time"":209},{""stimulus"":""img/2to3/3.png"",""time"":313},{""stimulus"":""img/2to3/4.png"",""time"":417},{""stimulus"":""img/2to3/5.png"",""time"":521},{""stimulus"":""img/2to3/6.png"",""time"":625},{""stimulus"":""img/2to3/7.png"",""time"":729},{""stimulus"":""img/2to3/8.png"",""time"":832},{""stimulus"":""img/2to3/9.png"",""time"":937},{""stimulus"":""img/2to3/10.png"",""time"":1040},{""stimulus"":""img/2to3/11.png"",""time"":1145},{""stimulus"":""img/2to3/12.png"",""time"":1249}]","[]"
"","","","observe","5fc70f3bd255c10f0b2346ba","bdp_cybrbll","Mon Mar 27 2023 18:56:35 GMT-0700 (Pacific Daylight Time)","466220","3","1","image-keyboard-response","7","43140","0.0-5.0-1.1","","null","","img/3to2/1.png","null","224","309","0.5","0.5","3","2","",""
