"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","instructions","1","5473","0.0-1.0","[{""page_index"":0,""viewing_time"":5466}]","5466","","","","","","","","","","",""
"fullscreenexit","2","8250","fullscreenexit","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","","","","","","","","","","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","fullscreen","2","9056","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","image-keyboard-response","3","13079","0.0-3.0-0.0","","4022","","","32","","","","","","","",""
"","","","","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","instructions","4","65390","0.0-4.0","[{""page_index"":0,""viewing_time"":52057}]","52057","","","","","","","","","","",""
"","","","choice","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","image-keyboard-response","5","66550","0.0-5.0-1.0","","1159","","img/2to1/1.png","2","225","487","0.5","0.5","2","3","",""
"","","","","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","animation","6","67959","0.0-5.0-2.0","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":101},{""stimulus"":""img/2to3/2.png"",""time"":209},{""stimulus"":""img/2to3/3.png"",""time"":319},{""stimulus"":""img/2to3/4.png"",""time"":428},{""stimulus"":""img/2to3/5.png"",""time"":538},{""stimulus"":""img/2to3/6.png"",""time"":648},{""stimulus"":""img/2to3/7.png"",""time"":757},{""stimulus"":""img/2to3/8.png"",""time"":865},{""stimulus"":""img/2to3/9.png"",""time"":972},{""stimulus"":""img/2to3/10.png"",""time"":1081},{""stimulus"":""img/2to3/11.png"",""time"":1190},{""stimulus"":""img/2to3/12.png"",""time"":1300}]","[]"
"","","","observe","5f5834134283933a1c3b42d0","bdp_cybrbll","Mon Mar 27 2023 15:20:43 GMT-0400 (Eastern Daylight Time)","478167","1","3","image-keyboard-response","7","68602","0.0-5.0-1.1","","null","","img/3to2/1.png","null","224","628","0.5","0.5","3","2","",""
