"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","5","0.0-0.0","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","","","","","","","","","","","","","",""
"","","","","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","focus","1","16642","focusevent","","","","","","","","","","","","",""
"instructions","1","28783","0.0-1.0","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","","[{""page_index"":0,""viewing_time"":28777}]","28778","","","","","","","","","","",""
"","","","","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","fullscreenenter","2","32203","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","33200","0.0-2.0","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","66274","0.0-4.0","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","","[{""page_index"":0,""viewing_time"":33072}]","33072","","","","","","","","","","",""
"image-keyboard-response","4","67776","0.0-5.0-1.0","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","choice","","1500","","img/2to1/1.png","1","225","536","0.5","0.5","2","1","",""
"animation","5","69071","0.0-5.0-2.0","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":208},{""stimulus"":""img/2to1/3.png"",""time"":302},{""stimulus"":""img/2to1/4.png"",""time"":401},{""stimulus"":""img/2to1/5.png"",""time"":505},{""stimulus"":""img/2to1/6.png"",""time"":599},{""stimulus"":""img/2to1/7.png"",""time"":703},{""stimulus"":""img/2to1/8.png"",""time"":800},{""stimulus"":""img/2to1/9.png"",""time"":895},{""stimulus"":""img/2to1/10.png"",""time"":999},{""stimulus"":""img/2to1/11.png"",""time"":1097},{""stimulus"":""img/2to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","6","69471","0.0-5.0-1.1","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","observe","","null","","img/1to3/1.png","null","224","395","0.5","0.5","1","2","",""
"animation","7","70768","0.0-5.0-2.1","63f794e7d8d24753edbbb136","bdp_cybrbll","Sun Mar 26 2023 08:11:48 GMT-0400 (Eastern Daylight Time)","473714","1","3","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":104},{""stimulus"":""img/1to2/2.png"",""time"":208},{""stimulus"":""img/1to2/3.png"",""time"":304},{""stimulus"":""img/1to2/4.png"",""time"":401},{""stimulus"":""img/1to2/5.png"",""time"":505},{""stimulus"":""img/1to2/6.png"",""time"":598},{""stimulus"":""img/1to2/7.png"",""time"":696},{""stimulus"":""img/1to2/8.png"",""time"":802},{""stimulus"":""img/1to2/9.png"",""time"":895},{""stimulus"":""img/1to2/10.png"",""time"":999},{""stimulus"":""img/1to2/11.png"",""time"":1097},{""stimulus"":""img/1to2/12.png"",""time"":1192}]","[]"
