"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","","","","","","","","","","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","pavlovia","0","78","0.0-0.0","","","","","","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","instructions","1","4810","0.0-1.0","[{""page_index"":0,""viewing_time"":4724}]","4725","","","","","","","","","","",""
"fullscreenexit","2","27524","fullscreenexit","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","","","","","","","","","","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","fullscreen","2","28062","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","image-keyboard-response","3","35690","0.0-3.0-0.0","","7617","","","32","","","","","","","",""
"","","","","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","instructions","4","82758","0.0-4.0","[{""page_index"":0,""viewing_time"":46808}]","46808","","","","","","","","","","",""
"","","","choice","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","image-keyboard-response","5","87323","0.0-5.0-1.0","","4552","","img/2to1/1.png","1","225","198","0.5","0.5","2","1","",""
"","","","","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","animation","6","88968","0.0-5.0-2.0","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":213},{""stimulus"":""img/2to1/3.png"",""time"":322},{""stimulus"":""img/2to1/4.png"",""time"":452},{""stimulus"":""img/2to1/5.png"",""time"":584},{""stimulus"":""img/2to1/6.png"",""time"":715},{""stimulus"":""img/2to1/7.png"",""time"":847},{""stimulus"":""img/2to1/8.png"",""time"":978},{""stimulus"":""img/2to1/9.png"",""time"":1113},{""stimulus"":""img/2to1/10.png"",""time"":1244},{""stimulus"":""img/2to1/11.png"",""time"":1376},{""stimulus"":""img/2to1/12.png"",""time"":1508}]","[]"
"","","","observe","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","image-keyboard-response","7","89761","0.0-5.0-1.1","","null","","img/1to3/1.png","null","224","776","0.5","0.5","1","2","",""
"","","","","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","animation","8","91388","0.0-5.0-2.1","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":218},{""stimulus"":""img/1to2/3.png"",""time"":327},{""stimulus"":""img/1to2/4.png"",""time"":455},{""stimulus"":""img/1to2/5.png"",""time"":584},{""stimulus"":""img/1to2/6.png"",""time"":715},{""stimulus"":""img/1to2/7.png"",""time"":845},{""stimulus"":""img/1to2/8.png"",""time"":976},{""stimulus"":""img/1to2/9.png"",""time"":1108},{""stimulus"":""img/1to2/10.png"",""time"":1238},{""stimulus"":""img/1to2/11.png"",""time"":1367},{""stimulus"":""img/1to2/12.png"",""time"":1495}]","[]"
"","","","choice","60ed200c728ab881912aac11","bdp_cybrbll","Sun Mar 26 2023 23:53:50 GMT-0400 (Eastern Daylight Time)","549200","3","1","image-keyboard-response","9","91975","0.0-5.0-1.2","","586","","img/2to1/1.png","2","223","329","0.5","0.5","2","3","",""
