"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","2","0.0-0.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","","","","","","","",""
"","","","","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","blur","1","6474","blurevent","1","","","","","","","","","","","","",""
"","","","","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","focus","1","31912","focusevent","","","","","","","","","","","","","",""
"instructions","1","36149","0.0-1.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","[{""page_index"":0,""viewing_time"":36146}]","36147","","","","","","","","","","",""
"","","","","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","fullscreenenter","2","38899","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","39884","0.0-2.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","true","","","","","","","","","",""
"instructions","3","126630","0.0-4.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","[{""page_index"":0,""viewing_time"":86744}]","86744","","","","","","","","","","",""
"image-keyboard-response","4","149734","0.0-5.0-0.0-0.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","blurwarn","1","","23103","","","49","","","","","","","",""
"image-keyboard-response","5","151781","0.0-5.0-1.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","choice","","","1794","","img/2to1/1.png","2","225","371","0.5","0.5","2","3","",""
"animation","6","153069","0.0-5.0-2.0","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":101},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":298},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":495},{""stimulus"":""img/2to3/6.png"",""time"":595},{""stimulus"":""img/2to3/7.png"",""time"":695},{""stimulus"":""img/2to3/8.png"",""time"":802},{""stimulus"":""img/2to3/9.png"",""time"":892},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1094},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","7","153982","0.0-5.0-1.1","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","observe","","","null","","img/3to2/1.png","null","224","911","0.5","0.5","3","1","",""
"animation","8","155270","0.0-5.0-2.1","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","224","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":100},{""stimulus"":""img/3to1/2.png"",""time"":198},{""stimulus"":""img/3to1/3.png"",""time"":298},{""stimulus"":""img/3to1/4.png"",""time"":396},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":595},{""stimulus"":""img/3to1/7.png"",""time"":693},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":893},{""stimulus"":""img/3to1/10.png"",""time"":990},{""stimulus"":""img/3to1/11.png"",""time"":1089},{""stimulus"":""img/3to1/12.png"",""time"":1188}]","[]"
"image-keyboard-response","9","155947","0.0-5.0-1.2","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","observe","","","null","","img/1to3/1.png","null","223","675","0.5","0.5","1","3","",""
"animation","10","157236","0.0-5.0-2.2","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","223","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":100},{""stimulus"":""img/1to3/2.png"",""time"":200},{""stimulus"":""img/1to3/3.png"",""time"":299},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":695},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":892},{""stimulus"":""img/1to3/10.png"",""time"":992},{""stimulus"":""img/1to3/11.png"",""time"":1091},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","11","157492","0.0-5.0-1.3","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","observe","","","null","","img/3to2/1.png","null","222","254","0.5","0.5","3","2","",""
"animation","12","158780","0.0-5.0-2.3","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","222","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":100},{""stimulus"":""img/3to2/2.png"",""time"":200},{""stimulus"":""img/3to2/3.png"",""time"":299},{""stimulus"":""img/3to2/4.png"",""time"":397},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":595},{""stimulus"":""img/3to2/7.png"",""time"":695},{""stimulus"":""img/3to2/8.png"",""time"":793},{""stimulus"":""img/3to2/9.png"",""time"":892},{""stimulus"":""img/3to2/10.png"",""time"":991},{""stimulus"":""img/3to2/11.png"",""time"":1090},{""stimulus"":""img/3to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","13","159919","0.0-5.0-1.4","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","choice","","","1138","","img/2to1/1.png","1","221","1569","0.5","0.5","2","1","",""
"animation","14","161208","0.0-5.0-2.4","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","221","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":198},{""stimulus"":""img/2to1/3.png"",""time"":297},{""stimulus"":""img/2to1/4.png"",""time"":396},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":594},{""stimulus"":""img/2to1/7.png"",""time"":693},{""stimulus"":""img/2to1/8.png"",""time"":793},{""stimulus"":""img/2to1/9.png"",""time"":891},{""stimulus"":""img/2to1/10.png"",""time"":993},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","15","161628","0.0-5.0-1.5","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","observe","","","null","","img/1to3/1.png","null","220","419","0.5","0.5","1","2","",""
"animation","16","162917","0.0-5.0-2.5","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","","","","","","","","220","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":100},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":398},{""stimulus"":""img/1to2/5.png"",""time"":495},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":693},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","17","163099","0.0-5.0-1.6","594936ad4152bf0001bfd5cd","bdp_cybrbll","Sat Mar 25 2023 20:45:52 GMT-0400 (Eastern Daylight Time)","559215","1","3","","","","choice","","","182","","img/2to1/1.png","2","219","1092","0.5","0.5","2","3","",""
