"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","","","","","",""
"instructions","1","860","0.0-1.0","[{""page_index"":0,""viewing_time"":858}]","858","","","","","","","","","","","","","","","",""
"","","","","","","fullscreenenter","2","2944","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","3947","0.0-2.0","","","","","","","true","","","","","","","","","","",""
"","","","","","","fullscreenexit","3","4121","fullscreenexit","","","","","","","","","","","",""
"instructions","3","5234","0.0-4.0","[{""page_index"":0,""viewing_time"":1286}]","1286","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","10626","0.0-5.0-1.0","","5391","","","","","","img/2to1/1.png","2","225","750","0.6","0.6","2","3","","",""
"animation","5","11936","0.0-5.0-2.0","","","","","","","","","","225","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":103},{""stimulus"":""img/2to3/2.png"",""time"":208},{""stimulus"":""img/2to3/3.png"",""time"":308},{""stimulus"":""img/2to3/4.png"",""time"":408},{""stimulus"":""img/2to3/5.png"",""time"":504},{""stimulus"":""img/2to3/6.png"",""time"":608},{""stimulus"":""img/2to3/7.png"",""time"":711},{""stimulus"":""img/2to3/8.png"",""time"":808},{""stimulus"":""img/2to3/9.png"",""time"":908},{""stimulus"":""img/2to3/10.png"",""time"":1008},{""stimulus"":""img/2to3/11.png"",""time"":1109},{""stimulus"":""img/2to3/12.png"",""time"":1208}]","[]",""
"image-keyboard-response","6","12696","0.0-5.0-1.1","","null","","","","","","img/3to2/1.png","null","224","750","0.6","0.6","3","1","","",""
"animation","7","14002","0.0-5.0-2.1","","","","","","","","","","224","750","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":106},{""stimulus"":""img/3to1/2.png"",""time"":208},{""stimulus"":""img/3to1/3.png"",""time"":306},{""stimulus"":""img/3to1/4.png"",""time"":410},{""stimulus"":""img/3to1/5.png"",""time"":506},{""stimulus"":""img/3to1/6.png"",""time"":608},{""stimulus"":""img/3to1/7.png"",""time"":705},{""stimulus"":""img/3to1/8.png"",""time"":809},{""stimulus"":""img/3to1/9.png"",""time"":905},{""stimulus"":""img/3to1/10.png"",""time"":1008},{""stimulus"":""img/3to1/11.png"",""time"":1105},{""stimulus"":""img/3to1/12.png"",""time"":1209}]","[]",""
"image-keyboard-response","8","14763","0.0-5.0-1.2","","null","","","","","","img/1to3/1.png","null","223","750","0.6","0.6","1","2","","",""
"animation","9","16073","0.0-5.0-2.2","","","","","","","","","","223","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":208},{""stimulus"":""img/1to2/3.png"",""time"":310},{""stimulus"":""img/1to2/4.png"",""time"":405},{""stimulus"":""img/1to2/5.png"",""time"":509},{""stimulus"":""img/1to2/6.png"",""time"":605},{""stimulus"":""img/1to2/7.png"",""time"":709},{""stimulus"":""img/1to2/8.png"",""time"":808},{""stimulus"":""img/1to2/9.png"",""time"":910},{""stimulus"":""img/1to2/10.png"",""time"":1005},{""stimulus"":""img/1to2/11.png"",""time"":1112},{""stimulus"":""img/1to2/12.png"",""time"":1207}]","[]",""
"image-keyboard-response","10","17434","0.0-5.0-1.3","","1361","","","","","","img/2to1/1.png","2","222","750","0.6","0.6","2","3","","",""
