"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"animation","56","1035493","0.0-5.0-2.25","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","","","","","","","","","","200","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":200},{""stimulus"":""img/3to1/3.png"",""time"":312},{""stimulus"":""img/3to1/4.png"",""time"":398},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":596},{""stimulus"":""img/3to1/7.png"",""time"":709},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":894},{""stimulus"":""img/3to1/10.png"",""time"":1003},{""stimulus"":""img/3to1/11.png"",""time"":1090},{""stimulus"":""img/3to1/12.png"",""time"":1191}]","[]"
"image-keyboard-response","57","1036165","0.0-5.0-1.26","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","null","","","","observe","","","img/1to3/1.png","null","199","668","0.5","0.5","1","2","",""
"animation","58","1037468","0.0-5.0-2.26","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","","","","","","","","","","199","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":201},{""stimulus"":""img/1to2/3.png"",""time"":310},{""stimulus"":""img/1to2/4.png"",""time"":403},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":604},{""stimulus"":""img/1to2/7.png"",""time"":697},{""stimulus"":""img/1to2/8.png"",""time"":808},{""stimulus"":""img/1to2/9.png"",""time"":904},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1191}]","[]"
"image-keyboard-response","59","1037638","0.0-5.0-1.27","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","169","","","","choice","","","img/2to1/1.png","2","198","290","0.5","0.5","2","3","",""
"animation","60","1038935","0.0-5.0-2.27","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","","","","","","","","","","198","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":101},{""stimulus"":""img/2to3/2.png"",""time"":212},{""stimulus"":""img/2to3/3.png"",""time"":308},{""stimulus"":""img/2to3/4.png"",""time"":404},{""stimulus"":""img/2to3/5.png"",""time"":500},{""stimulus"":""img/2to3/6.png"",""time"":595},{""stimulus"":""img/2to3/7.png"",""time"":706},{""stimulus"":""img/2to3/8.png"",""time"":802},{""stimulus"":""img/2to3/9.png"",""time"":898},{""stimulus"":""img/2to3/10.png"",""time"":994},{""stimulus"":""img/2to3/11.png"",""time"":1089},{""stimulus"":""img/2to3/12.png"",""time"":1201}]","[]"
"image-keyboard-response","61","1039400","0.0-5.0-1.28","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","null","","","","observe","","","img/3to2/1.png","null","197","463","0.5","0.5","3","2","",""
"animation","62","1040692","0.0-5.0-2.28","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","","","","","","","","","","197","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":105},{""stimulus"":""img/3to2/2.png"",""time"":200},{""stimulus"":""img/3to2/3.png"",""time"":310},{""stimulus"":""img/3to2/4.png"",""time"":397},{""stimulus"":""img/3to2/5.png"",""time"":511},{""stimulus"":""img/3to2/6.png"",""time"":596},{""stimulus"":""img/3to2/7.png"",""time"":698},{""stimulus"":""img/3to2/8.png"",""time"":808},{""stimulus"":""img/3to2/9.png"",""time"":902},{""stimulus"":""img/3to2/10.png"",""time"":997},{""stimulus"":""img/3to2/11.png"",""time"":1091},{""stimulus"":""img/3to2/12.png"",""time"":1199}]","[]"
"image-keyboard-response","63","1041964","0.0-5.0-1.29","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","1272","","","","choice","","","img/2to1/1.png","1","196","472","0.5","0.5","2","1","",""
"animation","64","1043261","0.0-5.0-2.29","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","","","","","","","","","","196","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":107},{""stimulus"":""img/2to1/2.png"",""time"":201},{""stimulus"":""img/2to1/3.png"",""time"":312},{""stimulus"":""img/2to1/4.png"",""time"":406},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":610},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":793},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":992},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","65","1043643","0.0-5.0-1.30","5e535a49ac9ed13700f62def","bdp_cybrbll","Sun Apr 02 2023 23:11:54 GMT-0500 (Central Daylight Time)","1390783","3","1","","null","","","","observe","","","img/1to3/1.png","null","195","381","0.5","0.5","1","2","",""
