"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","instructions","1","2574","0.0-1.0","[{""page_index"":0,""viewing_time"":2570}]","2570","","","","","","","","","","","",""
"blur","2","5016","blurevent","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","","","","","","","1","","","","","","","","","","",""
"focus","2","5071","focusevent","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","","","","","","","","","","","","","","","","","",""
"fullscreenexit","2","5076","fullscreenexit","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","","","","","","","","","","","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","fullscreen","2","5797","0.0-2.0","","","","true","","","","","","","","","",""
"","","","fullscreenfail","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","3","7633","0.0-3.0-0.0","","1830","","","","32","","","","","","","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","instructions","4","319637","0.0-4.0","[{""page_index"":0,""viewing_time"":311747}]","311749","","","","","","","","","","","",""
"","","","blurwarn","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","5","323960","0.0-5.0-0.0-0.0","","4321","1","","","49","","","","","","","",""
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","6","326318","0.0-5.0-1.0","","2098","","","img/2to1/1.png","1","225","423","0.5","0.5","2","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","7","327664","0.0-5.0-2.0","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":208},{""stimulus"":""img/2to1/3.png"",""time"":311},{""stimulus"":""img/2to1/4.png"",""time"":414},{""stimulus"":""img/2to1/5.png"",""time"":519},{""stimulus"":""img/2to1/6.png"",""time"":622},{""stimulus"":""img/2to1/7.png"",""time"":724},{""stimulus"":""img/2to1/8.png"",""time"":828},{""stimulus"":""img/2to1/9.png"",""time"":933},{""stimulus"":""img/2to1/10.png"",""time"":1037},{""stimulus"":""img/2to1/11.png"",""time"":1140},{""stimulus"":""img/2to1/12.png"",""time"":1241}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","8","328175","0.0-5.0-1.1","","null","","","img/1to3/1.png","null","224","503","0.5","0.5","1","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","9","329515","0.0-5.0-2.1","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":106},{""stimulus"":""img/1to2/2.png"",""time"":209},{""stimulus"":""img/1to2/3.png"",""time"":310},{""stimulus"":""img/1to2/4.png"",""time"":414},{""stimulus"":""img/1to2/5.png"",""time"":514},{""stimulus"":""img/1to2/6.png"",""time"":618},{""stimulus"":""img/1to2/7.png"",""time"":718},{""stimulus"":""img/1to2/8.png"",""time"":822},{""stimulus"":""img/1to2/9.png"",""time"":927},{""stimulus"":""img/1to2/10.png"",""time"":1030},{""stimulus"":""img/1to2/11.png"",""time"":1132},{""stimulus"":""img/1to2/12.png"",""time"":1236}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","10","330361","0.0-5.0-1.2","","843","","","img/2to1/1.png","2","223","248","0.5","0.5","2","3","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","11","331707","0.0-5.0-2.2","","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":106},{""stimulus"":""img/2to3/2.png"",""time"":210},{""stimulus"":""img/2to3/3.png"",""time"":313},{""stimulus"":""img/2to3/4.png"",""time"":413},{""stimulus"":""img/2to3/5.png"",""time"":518},{""stimulus"":""img/2to3/6.png"",""time"":622},{""stimulus"":""img/2to3/7.png"",""time"":726},{""stimulus"":""img/2to3/8.png"",""time"":829},{""stimulus"":""img/2to3/9.png"",""time"":930},{""stimulus"":""img/2to3/10.png"",""time"":1035},{""stimulus"":""img/2to3/11.png"",""time"":1139},{""stimulus"":""img/2to3/12.png"",""time"":1242}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","12","332445","0.0-5.0-1.3","","null","","","img/3to2/1.png","null","222","731","0.5","0.5","3","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","13","333793","0.0-5.0-2.3","","","","","","","222","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":105},{""stimulus"":""img/3to1/2.png"",""time"":209},{""stimulus"":""img/3to1/3.png"",""time"":310},{""stimulus"":""img/3to1/4.png"",""time"":414},{""stimulus"":""img/3to1/5.png"",""time"":518},{""stimulus"":""img/3to1/6.png"",""time"":621},{""stimulus"":""img/3to1/7.png"",""time"":722},{""stimulus"":""img/3to1/8.png"",""time"":826},{""stimulus"":""img/3to1/9.png"",""time"":931},{""stimulus"":""img/3to1/10.png"",""time"":1034},{""stimulus"":""img/3to1/11.png"",""time"":1139},{""stimulus"":""img/3to1/12.png"",""time"":1242}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","14","335659","0.0-5.0-1.4","","null","","","img/1to3/1.png","null","221","1861","0.5","0.5","1","3","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","15","336999","0.0-5.0-2.4","","","","","","","221","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":102},{""stimulus"":""img/1to3/2.png"",""time"":205},{""stimulus"":""img/1to3/3.png"",""time"":304},{""stimulus"":""img/1to3/4.png"",""time"":403},{""stimulus"":""img/1to3/5.png"",""time"":507},{""stimulus"":""img/1to3/6.png"",""time"":611},{""stimulus"":""img/1to3/7.png"",""time"":716},{""stimulus"":""img/1to3/8.png"",""time"":819},{""stimulus"":""img/1to3/9.png"",""time"":923},{""stimulus"":""img/1to3/10.png"",""time"":1028},{""stimulus"":""img/1to3/11.png"",""time"":1132},{""stimulus"":""img/1to3/12.png"",""time"":1235}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","16","337369","0.0-5.0-1.5","","null","","","img/3to2/1.png","null","220","363","0.5","0.5","3","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","17","338702","0.0-5.0-2.5","","","","","","","220","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":105},{""stimulus"":""img/3to1/2.png"",""time"":209},{""stimulus"":""img/3to1/3.png"",""time"":310},{""stimulus"":""img/3to1/4.png"",""time"":414},{""stimulus"":""img/3to1/5.png"",""time"":516},{""stimulus"":""img/3to1/6.png"",""time"":616},{""stimulus"":""img/3to1/7.png"",""time"":722},{""stimulus"":""img/3to1/8.png"",""time"":825},{""stimulus"":""img/3to1/9.png"",""time"":926},{""stimulus"":""img/3to1/10.png"",""time"":1028},{""stimulus"":""img/3to1/11.png"",""time"":1129},{""stimulus"":""img/3to1/12.png"",""time"":1234}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","18","339441","0.0-5.0-1.6","","null","","","img/1to3/1.png","null","219","736","0.5","0.5","1","3","",""
