"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"blur","0","0","blurevent","1","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","","","","","","","","","","","","","","","","",""
"","","","","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","",""
"","","","","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","instructions","1","1158","0.0-1.0","[{""page_index"":0,""viewing_time"":1155}]","1155","","","","","","","","","","",""
"fullscreenenter","2","4142","fullscreenenter","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","","","","","","","","","","","","","","","","",""
"","","","","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","fullscreen","2","5140","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","instructions","3","48569","0.0-4.0","[{""page_index"":0,""viewing_time"":43427}]","43427","","","","","","","","","","",""
"","","","blurwarn","1","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","image-keyboard-response","4","59321","0.0-5.0-0.0-0.0","","10751","","","49","","","","","","","",""
"","","","choice","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","image-keyboard-response","5","60960","0.0-5.0-1.0","","1386","","img/2to1/1.png","2","225","1199","0.5","0.5","2","3","",""
"","","","","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","animation","6","62249","0.0-5.0-2.0","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":298},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":595},{""stimulus"":""img/2to3/7.png"",""time"":695},{""stimulus"":""img/2to3/8.png"",""time"":792},{""stimulus"":""img/2to3/9.png"",""time"":892},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1091},{""stimulus"":""img/2to3/12.png"",""time"":1190}]","[]"
"","","","observe","","62b33e2a447824fbd0770025","bdp_cybrbll","Thu Apr 13 2023 15:53:19 GMT-0400 (Eastern Daylight Time)","464003","3","1","image-keyboard-response","7","62888","0.0-5.0-1.1","","null","","img/3to2/1.png","null","224","636","0.5","0.5","3","2","",""
