"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"blur","0","0","blurevent","1","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","","","","","","","","","","","","","","","","",""
"","","","","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","pavlovia","0","2","0.0-0.0","","","","","","","","","","","","",""
"focus","1","1238","focusevent","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","","","","","","","","","","","","","","","","",""
"","","","","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","instructions","1","3244","0.0-1.0","[{""page_index"":0,""viewing_time"":3242}]","3242","","","","","","","","","","",""
"fullscreenenter","2","5101","fullscreenenter","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","","","","","","","","","","","","","","","","",""
"","","","","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","fullscreen","2","6092","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","instructions","3","38881","0.0-4.0","[{""page_index"":0,""viewing_time"":32789}]","32789","","","","","","","","","","",""
"","","","blurwarn","1","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","image-keyboard-response","4","53746","0.0-5.0-0.0-0.0","","14863","","","49","","","","","","","",""
"","","","choice","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","image-keyboard-response","5","56800","0.0-5.0-1.0","","2788","","img/2to1/1.png","1","225","1353","0.5","0.5","2","1","",""
"","","","","","5df1133b99b28201e0a1181c","bdp_cybrbll","Sat Mar 25 2023 23:31:12 GMT-0400 (Eastern Daylight Time)","462814","3","1","animation","6","58090","0.0-5.0-2.0","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":212},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":399},{""stimulus"":""img/2to1/5.png"",""time"":502},{""stimulus"":""img/2to1/6.png"",""time"":604},{""stimulus"":""img/2to1/7.png"",""time"":709},{""stimulus"":""img/2to1/8.png"",""time"":796},{""stimulus"":""img/2to1/9.png"",""time"":896},{""stimulus"":""img/2to1/10.png"",""time"":1000},{""stimulus"":""img/2to1/11.png"",""time"":1101},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
