"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","1","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","pavlovia","0","4","0.0-0.0","","","","","","","","","","","","",""
"blur","1","2844","blurevent","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","2","","","","","","","","","","","","","","","","",""
"focus","1","9468","focusevent","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","instructions","1","11508","0.0-1.0","[{""page_index"":0,""viewing_time"":11504}]","11504","","","","","","","","","","",""
"fullscreenexit","2","13198","fullscreenexit","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","","","","","","","","","","","","","","","","",""
"","","","","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","fullscreen","2","13963","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","63d404f4eaf69448ef9e09e6","bdp_cybrbll","Tue Mar 28 2023 20:18:35 GMT-0700 (Pacific Daylight Time)","536685","3","1","","image-keyboard-response","3","15724","0.0-3.0-0.0","","1759","","","32","","","","","","","",""
