"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","pavlovia","0","1","0.0-0.0","","","","","","","","","","","","","",""
"blur","1","228","blurevent","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","","","","","1","","","","","","","","","","","","",""
"focus","1","2363","focusevent","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","instructions","1","4333","0.0-1.0","","[{""page_index"":0,""viewing_time"":4332}]","4332","","","","","","","","","","",""
"fullscreenexit","2","6427","fullscreenexit","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","","","","","","","","","","","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","fullscreen","2","7237","0.0-2.0","","","","true","","","","","","","","","",""
"","","","fullscreenfail","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","3","8563","0.0-3.0-0.0","","","1324","","","32","","","","","","","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","instructions","4","37780","0.0-4.0","","[{""page_index"":0,""viewing_time"":28966}]","28967","","","","","","","","","","",""
"","","","blurwarn","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","5","45520","0.0-5.0-0.0-0.0","1","","7740","","","49","","","","","","","",""
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","6","47677","0.0-5.0-1.0","","","1900","","img/2to1/1.png","1","225","582","0.5","0.5","2","1","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","7","49081","0.0-5.0-2.0","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":212},{""stimulus"":""img/2to1/3.png"",""time"":321},{""stimulus"":""img/2to1/4.png"",""time"":429},{""stimulus"":""img/2to1/5.png"",""time"":538},{""stimulus"":""img/2to1/6.png"",""time"":646},{""stimulus"":""img/2to1/7.png"",""time"":755},{""stimulus"":""img/2to1/8.png"",""time"":863},{""stimulus"":""img/2to1/9.png"",""time"":971},{""stimulus"":""img/2to1/10.png"",""time"":1078},{""stimulus"":""img/2to1/11.png"",""time"":1187},{""stimulus"":""img/2to1/12.png"",""time"":1294}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","8","49607","0.0-5.0-1.1","","","null","","img/1to3/1.png","null","224","523","0.5","0.5","1","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","9","51015","0.0-5.0-2.1","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":216},{""stimulus"":""img/1to2/3.png"",""time"":326},{""stimulus"":""img/1to2/4.png"",""time"":433},{""stimulus"":""img/1to2/5.png"",""time"":542},{""stimulus"":""img/1to2/6.png"",""time"":651},{""stimulus"":""img/1to2/7.png"",""time"":759},{""stimulus"":""img/1to2/8.png"",""time"":868},{""stimulus"":""img/1to2/9.png"",""time"":976},{""stimulus"":""img/1to2/10.png"",""time"":1084},{""stimulus"":""img/1to2/11.png"",""time"":1192},{""stimulus"":""img/1to2/12.png"",""time"":1301}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","10","51461","0.0-5.0-1.2","","","446","","img/2to1/1.png","1","223","724","0.5","0.5","2","1","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","11","52865","0.0-5.0-2.2","","","","","","","223","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":110},{""stimulus"":""img/2to1/2.png"",""time"":218},{""stimulus"":""img/2to1/3.png"",""time"":326},{""stimulus"":""img/2to1/4.png"",""time"":434},{""stimulus"":""img/2to1/5.png"",""time"":542},{""stimulus"":""img/2to1/6.png"",""time"":649},{""stimulus"":""img/2to1/7.png"",""time"":757},{""stimulus"":""img/2to1/8.png"",""time"":865},{""stimulus"":""img/2to1/9.png"",""time"":973},{""stimulus"":""img/2to1/10.png"",""time"":1080},{""stimulus"":""img/2to1/11.png"",""time"":1188},{""stimulus"":""img/2to1/12.png"",""time"":1296}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","12","53558","0.0-5.0-1.3","","","null","","img/1to3/1.png","null","222","685","0.5","0.5","1","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","13","54960","0.0-5.0-2.3","","","","","","","222","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":107},{""stimulus"":""img/1to3/2.png"",""time"":215},{""stimulus"":""img/1to3/3.png"",""time"":323},{""stimulus"":""img/1to3/4.png"",""time"":431},{""stimulus"":""img/1to3/5.png"",""time"":539},{""stimulus"":""img/1to3/6.png"",""time"":647},{""stimulus"":""img/1to3/7.png"",""time"":756},{""stimulus"":""img/1to3/8.png"",""time"":863},{""stimulus"":""img/1to3/9.png"",""time"":970},{""stimulus"":""img/1to3/10.png"",""time"":1079},{""stimulus"":""img/1to3/11.png"",""time"":1187},{""stimulus"":""img/1to3/12.png"",""time"":1294}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","14","55594","0.0-5.0-1.4","","","null","","img/3to2/1.png","null","221","620","0.5","0.5","3","1","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","15","56998","0.0-5.0-2.4","","","","","","","221","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":324},{""stimulus"":""img/3to1/4.png"",""time"":431},{""stimulus"":""img/3to1/5.png"",""time"":540},{""stimulus"":""img/3to1/6.png"",""time"":647},{""stimulus"":""img/3to1/7.png"",""time"":755},{""stimulus"":""img/3to1/8.png"",""time"":863},{""stimulus"":""img/3to1/9.png"",""time"":972},{""stimulus"":""img/3to1/10.png"",""time"":1080},{""stimulus"":""img/3to1/11.png"",""time"":1187},{""stimulus"":""img/3to1/12.png"",""time"":1296}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","16","57260","0.0-5.0-1.5","","","null","","img/1to3/1.png","null","220","258","0.5","0.5","1","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","17","58662","0.0-5.0-2.5","","","","","","","220","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":215},{""stimulus"":""img/1to2/3.png"",""time"":323},{""stimulus"":""img/1to2/4.png"",""time"":431},{""stimulus"":""img/1to2/5.png"",""time"":540},{""stimulus"":""img/1to2/6.png"",""time"":648},{""stimulus"":""img/1to2/7.png"",""time"":755},{""stimulus"":""img/1to2/8.png"",""time"":864},{""stimulus"":""img/1to2/9.png"",""time"":972},{""stimulus"":""img/1to2/10.png"",""time"":1079},{""stimulus"":""img/1to2/11.png"",""time"":1187},{""stimulus"":""img/1to2/12.png"",""time"":1295}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","18","59254","0.0-5.0-1.6","","","592","","img/2to1/1.png","1","219","219","0.5","0.5","2","1","",""
