"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","numBlurs","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","19","60653","0.0-5.0-2.6","","","","","","","219","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":102},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":317},{""stimulus"":""img/2to1/4.png"",""time"":424},{""stimulus"":""img/2to1/5.png"",""time"":533},{""stimulus"":""img/2to1/6.png"",""time"":641},{""stimulus"":""img/2to1/7.png"",""time"":750},{""stimulus"":""img/2to1/8.png"",""time"":858},{""stimulus"":""img/2to1/9.png"",""time"":966},{""stimulus"":""img/2to1/10.png"",""time"":1073},{""stimulus"":""img/2to1/11.png"",""time"":1182},{""stimulus"":""img/2to1/12.png"",""time"":1290}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","20","61209","0.0-5.0-1.7","","","null","","img/1to3/1.png","null","218","546","0.5","0.5","1","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","21","62611","0.0-5.0-2.7","","","","","","","218","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":216},{""stimulus"":""img/1to3/3.png"",""time"":323},{""stimulus"":""img/1to3/4.png"",""time"":431},{""stimulus"":""img/1to3/5.png"",""time"":539},{""stimulus"":""img/1to3/6.png"",""time"":647},{""stimulus"":""img/1to3/7.png"",""time"":755},{""stimulus"":""img/1to3/8.png"",""time"":864},{""stimulus"":""img/1to3/9.png"",""time"":972},{""stimulus"":""img/1to3/10.png"",""time"":1079},{""stimulus"":""img/1to3/11.png"",""time"":1186},{""stimulus"":""img/1to3/12.png"",""time"":1294}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","22","63258","0.0-5.0-1.8","","","null","","img/3to2/1.png","null","217","639","0.5","0.5","3","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","23","64662","0.0-5.0-2.8","","","","","","","217","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":107},{""stimulus"":""img/3to2/2.png"",""time"":215},{""stimulus"":""img/3to2/3.png"",""time"":322},{""stimulus"":""img/3to2/4.png"",""time"":430},{""stimulus"":""img/3to2/5.png"",""time"":539},{""stimulus"":""img/3to2/6.png"",""time"":647},{""stimulus"":""img/3to2/7.png"",""time"":756},{""stimulus"":""img/3to2/8.png"",""time"":864},{""stimulus"":""img/3to2/9.png"",""time"":972},{""stimulus"":""img/3to2/10.png"",""time"":1080},{""stimulus"":""img/3to2/11.png"",""time"":1188},{""stimulus"":""img/3to2/12.png"",""time"":1296}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","24","64889","0.0-5.0-1.9","","","226","","img/2to1/1.png","1","216","432","0.5","0.5","2","1","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","25","66297","0.0-5.0-2.9","","","","","","","216","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":111},{""stimulus"":""img/2to1/2.png"",""time"":218},{""stimulus"":""img/2to1/3.png"",""time"":327},{""stimulus"":""img/2to1/4.png"",""time"":434},{""stimulus"":""img/2to1/5.png"",""time"":543},{""stimulus"":""img/2to1/6.png"",""time"":651},{""stimulus"":""img/2to1/7.png"",""time"":758},{""stimulus"":""img/2to1/8.png"",""time"":867},{""stimulus"":""img/2to1/9.png"",""time"":976},{""stimulus"":""img/2to1/10.png"",""time"":1083},{""stimulus"":""img/2to1/11.png"",""time"":1192},{""stimulus"":""img/2to1/12.png"",""time"":1300}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","26","68163","0.0-5.0-1.10","","","null","","img/1to3/1.png","null","215","1861","0.5","0.5","1","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","27","69569","0.0-5.0-2.10","","","","","","","215","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":216},{""stimulus"":""img/1to3/3.png"",""time"":324},{""stimulus"":""img/1to3/4.png"",""time"":432},{""stimulus"":""img/1to3/5.png"",""time"":541},{""stimulus"":""img/1to3/6.png"",""time"":650},{""stimulus"":""img/1to3/7.png"",""time"":758},{""stimulus"":""img/1to3/8.png"",""time"":865},{""stimulus"":""img/1to3/9.png"",""time"":972},{""stimulus"":""img/1to3/10.png"",""time"":1080},{""stimulus"":""img/1to3/11.png"",""time"":1189},{""stimulus"":""img/1to3/12.png"",""time"":1297}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","28","70094","0.0-5.0-1.11","","","null","","img/3to2/1.png","null","214","510","0.5","0.5","3","1","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","29","71496","0.0-5.0-2.11","","","","","","","214","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":215},{""stimulus"":""img/3to1/3.png"",""time"":323},{""stimulus"":""img/3to1/4.png"",""time"":431},{""stimulus"":""img/3to1/5.png"",""time"":538},{""stimulus"":""img/3to1/6.png"",""time"":646},{""stimulus"":""img/3to1/7.png"",""time"":754},{""stimulus"":""img/3to1/8.png"",""time"":862},{""stimulus"":""img/3to1/9.png"",""time"":970},{""stimulus"":""img/3to1/10.png"",""time"":1079},{""stimulus"":""img/3to1/11.png"",""time"":1187},{""stimulus"":""img/3to1/12.png"",""time"":1294}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","30","71727","0.0-5.0-1.12","","","null","","img/1to3/1.png","null","213","225","0.5","0.5","1","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","31","73128","0.0-5.0-2.12","","","","","","","213","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":215},{""stimulus"":""img/1to2/3.png"",""time"":322},{""stimulus"":""img/1to2/4.png"",""time"":431},{""stimulus"":""img/1to2/5.png"",""time"":539},{""stimulus"":""img/1to2/6.png"",""time"":646},{""stimulus"":""img/1to2/7.png"",""time"":754},{""stimulus"":""img/1to2/8.png"",""time"":862},{""stimulus"":""img/1to2/9.png"",""time"":970},{""stimulus"":""img/1to2/10.png"",""time"":1077},{""stimulus"":""img/1to2/11.png"",""time"":1185},{""stimulus"":""img/1to2/12.png"",""time"":1293}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","32","73281","0.0-5.0-1.13","","","153","","img/2to1/1.png","2","212","573","0.5","0.5","2","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","33","74685","0.0-5.0-2.13","","","","","","","212","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":108},{""stimulus"":""img/2to3/2.png"",""time"":216},{""stimulus"":""img/2to3/3.png"",""time"":324},{""stimulus"":""img/2to3/4.png"",""time"":432},{""stimulus"":""img/2to3/5.png"",""time"":539},{""stimulus"":""img/2to3/6.png"",""time"":647},{""stimulus"":""img/2to3/7.png"",""time"":755},{""stimulus"":""img/2to3/8.png"",""time"":864},{""stimulus"":""img/2to3/9.png"",""time"":972},{""stimulus"":""img/2to3/10.png"",""time"":1080},{""stimulus"":""img/2to3/11.png"",""time"":1188},{""stimulus"":""img/2to3/12.png"",""time"":1295}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","34","75195","0.0-5.0-1.14","","","null","","img/3to2/1.png","null","211","496","0.5","0.5","3","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","35","76600","0.0-5.0-2.14","","","","","","","211","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":107},{""stimulus"":""img/3to2/2.png"",""time"":215},{""stimulus"":""img/3to2/3.png"",""time"":323},{""stimulus"":""img/3to2/4.png"",""time"":432},{""stimulus"":""img/3to2/5.png"",""time"":539},{""stimulus"":""img/3to2/6.png"",""time"":648},{""stimulus"":""img/3to2/7.png"",""time"":756},{""stimulus"":""img/3to2/8.png"",""time"":865},{""stimulus"":""img/3to2/9.png"",""time"":972},{""stimulus"":""img/3to2/10.png"",""time"":1080},{""stimulus"":""img/3to2/11.png"",""time"":1189},{""stimulus"":""img/3to2/12.png"",""time"":1296}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","36","76661","0.0-5.0-1.15","","","60","","img/2to1/1.png","2","210","674","0.5","0.5","2","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","37","78062","0.0-5.0-2.15","","","","","","","210","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":109},{""stimulus"":""img/2to3/2.png"",""time"":216},{""stimulus"":""img/2to3/3.png"",""time"":322},{""stimulus"":""img/2to3/4.png"",""time"":430},{""stimulus"":""img/2to3/5.png"",""time"":538},{""stimulus"":""img/2to3/6.png"",""time"":646},{""stimulus"":""img/2to3/7.png"",""time"":754},{""stimulus"":""img/2to3/8.png"",""time"":861},{""stimulus"":""img/2to3/9.png"",""time"":970},{""stimulus"":""img/2to3/10.png"",""time"":1078},{""stimulus"":""img/2to3/11.png"",""time"":1185},{""stimulus"":""img/2to3/12.png"",""time"":1293}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","38","78417","0.0-5.0-1.16","","","null","","img/3to2/1.png","null","209","345","0.5","0.5","3","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","39","79820","0.0-5.0-2.16","","","","","","","209","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":107},{""stimulus"":""img/3to2/2.png"",""time"":215},{""stimulus"":""img/3to2/3.png"",""time"":323},{""stimulus"":""img/3to2/4.png"",""time"":431},{""stimulus"":""img/3to2/5.png"",""time"":540},{""stimulus"":""img/3to2/6.png"",""time"":648},{""stimulus"":""img/3to2/7.png"",""time"":755},{""stimulus"":""img/3to2/8.png"",""time"":863},{""stimulus"":""img/3to2/9.png"",""time"":970},{""stimulus"":""img/3to2/10.png"",""time"":1079},{""stimulus"":""img/3to2/11.png"",""time"":1187},{""stimulus"":""img/3to2/12.png"",""time"":1295}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","40","80451","0.0-5.0-1.17","","","630","","img/2to1/1.png","2","208","392","0.5","0.5","2","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","41","81856","0.0-5.0-2.17","","","","","","","208","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":109},{""stimulus"":""img/2to3/2.png"",""time"":217},{""stimulus"":""img/2to3/3.png"",""time"":325},{""stimulus"":""img/2to3/4.png"",""time"":433},{""stimulus"":""img/2to3/5.png"",""time"":542},{""stimulus"":""img/2to3/6.png"",""time"":649},{""stimulus"":""img/2to3/7.png"",""time"":756},{""stimulus"":""img/2to3/8.png"",""time"":865},{""stimulus"":""img/2to3/9.png"",""time"":974},{""stimulus"":""img/2to3/10.png"",""time"":1080},{""stimulus"":""img/2to3/11.png"",""time"":1188},{""stimulus"":""img/2to3/12.png"",""time"":1296}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","42","82873","0.0-5.0-1.18","","","null","","img/3to2/1.png","null","207","1004","0.5","0.5","3","2","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","43","84279","0.0-5.0-2.18","","","","","","","207","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":216},{""stimulus"":""img/3to2/3.png"",""time"":325},{""stimulus"":""img/3to2/4.png"",""time"":432},{""stimulus"":""img/3to2/5.png"",""time"":541},{""stimulus"":""img/3to2/6.png"",""time"":649},{""stimulus"":""img/3to2/7.png"",""time"":757},{""stimulus"":""img/3to2/8.png"",""time"":865},{""stimulus"":""img/3to2/9.png"",""time"":973},{""stimulus"":""img/3to2/10.png"",""time"":1081},{""stimulus"":""img/3to2/11.png"",""time"":1189},{""stimulus"":""img/3to2/12.png"",""time"":1297}]","[]"
"","","","choice","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","44","84463","0.0-5.0-1.19","","","184","","img/2to1/1.png","2","206","300","0.5","0.5","2","3","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","45","85867","0.0-5.0-2.19","","","","","","","206","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":108},{""stimulus"":""img/2to3/2.png"",""time"":216},{""stimulus"":""img/2to3/3.png"",""time"":324},{""stimulus"":""img/2to3/4.png"",""time"":433},{""stimulus"":""img/2to3/5.png"",""time"":540},{""stimulus"":""img/2to3/6.png"",""time"":649},{""stimulus"":""img/2to3/7.png"",""time"":756},{""stimulus"":""img/2to3/8.png"",""time"":864},{""stimulus"":""img/2to3/9.png"",""time"":971},{""stimulus"":""img/2to3/10.png"",""time"":1080},{""stimulus"":""img/2to3/11.png"",""time"":1188},{""stimulus"":""img/2to3/12.png"",""time"":1296}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","46","86343","0.0-5.0-1.20","","","null","","img/3to2/1.png","null","205","471","0.5","0.5","3","1","",""
"","","","","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","animation","47","87747","0.0-5.0-2.20","","","","","","","205","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":324},{""stimulus"":""img/3to1/4.png"",""time"":432},{""stimulus"":""img/3to1/5.png"",""time"":540},{""stimulus"":""img/3to1/6.png"",""time"":648},{""stimulus"":""img/3to1/7.png"",""time"":755},{""stimulus"":""img/3to1/8.png"",""time"":863},{""stimulus"":""img/3to1/9.png"",""time"":972},{""stimulus"":""img/3to1/10.png"",""time"":1080},{""stimulus"":""img/3to1/11.png"",""time"":1188},{""stimulus"":""img/3to1/12.png"",""time"":1296}]","[]"
"","","","observe","63d842d3e9626bd5fe5c17b1","bdp_cybrbll","Mon Mar 27 2023 16:06:18 GMT-0700 (Pacific Daylight Time)","472851","1","3","image-keyboard-response","48","88316","0.0-5.0-1.21","","","null","","img/1to3/1.png","null","204","566","0.5","0.5","1","2","",""
