"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","","","","","","","","","","","","","","","","",""
"","","","","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","pavlovia","0","7","0.0-0.0","","","","","","","","","","","","",""
"","","","","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","instructions","1","4762","0.0-1.0","[{""page_index"":0,""viewing_time"":4753}]","4753","","","","","","","","","","",""
"fullscreenenter","2","7926","fullscreenenter","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","","","","","","","","","","","","","","","","",""
"","","","","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","fullscreen","2","8885","0.0-2.0","","","true","","","","","","","","","",""
"","","","","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","instructions","3","67392","0.0-4.0","[{""page_index"":0,""viewing_time"":58505}]","58505","","","","","","","","","","",""
"","","","choice","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","image-keyboard-response","4","68760","0.0-5.0-1.0","","1365","","img/2to1/1.png","2","225","575","0.5","0.5","2","3","",""
"","","","","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","animation","5","70061","0.0-5.0-2.0","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":101},{""stimulus"":""img/2to3/2.png"",""time"":201},{""stimulus"":""img/2to3/3.png"",""time"":300},{""stimulus"":""img/2to3/4.png"",""time"":400},{""stimulus"":""img/2to3/5.png"",""time"":501},{""stimulus"":""img/2to3/6.png"",""time"":601},{""stimulus"":""img/2to3/7.png"",""time"":700},{""stimulus"":""img/2to3/8.png"",""time"":800},{""stimulus"":""img/2to3/9.png"",""time"":900},{""stimulus"":""img/2to3/10.png"",""time"":1001},{""stimulus"":""img/2to3/11.png"",""time"":1100},{""stimulus"":""img/2to3/12.png"",""time"":1200}]","[]"
"","","","observe","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","image-keyboard-response","6","71535","0.0-5.0-1.1","","null","","img/3to2/1.png","null","224","1472","0.5","0.5","3","1","",""
"","","","","63d000d62878aa92b833c5fc","bdp_cybrbll","Sun Mar 26 2023 11:20:54 GMT-0700 (PDT)","454321","1","3","animation","7","72833","0.0-5.0-2.1","","","","","","224","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":100},{""stimulus"":""img/3to1/2.png"",""time"":200},{""stimulus"":""img/3to1/3.png"",""time"":301},{""stimulus"":""img/3to1/4.png"",""time"":401},{""stimulus"":""img/3to1/5.png"",""time"":500},{""stimulus"":""img/3to1/6.png"",""time"":599},{""stimulus"":""img/3to1/7.png"",""time"":699},{""stimulus"":""img/3to1/8.png"",""time"":799},{""stimulus"":""img/3to1/9.png"",""time"":898},{""stimulus"":""img/3to1/10.png"",""time"":997},{""stimulus"":""img/3to1/11.png"",""time"":1097},{""stimulus"":""img/3to1/12.png"",""time"":1197}]","[]"
