"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"animation","428","444391","0.0-5.0-2.211","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","14","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":112},{""stimulus"":""img/2to1/2.png"",""time"":220},{""stimulus"":""img/2to1/3.png"",""time"":328},{""stimulus"":""img/2to1/4.png"",""time"":436},{""stimulus"":""img/2to1/5.png"",""time"":544},{""stimulus"":""img/2to1/6.png"",""time"":654},{""stimulus"":""img/2to1/7.png"",""time"":763},{""stimulus"":""img/2to1/8.png"",""time"":873},{""stimulus"":""img/2to1/9.png"",""time"":980},{""stimulus"":""img/2to1/10.png"",""time"":1089},{""stimulus"":""img/2to1/11.png"",""time"":1197},{""stimulus"":""img/2to1/12.png"",""time"":1306}]","[]"
"image-keyboard-response","429","444690","0.0-5.0-1.212","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/1to3/1.png","null","13","291","0.5","0.5","1","3","",""
"animation","430","446097","0.0-5.0-2.212","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","13","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":107},{""stimulus"":""img/1to3/2.png"",""time"":217},{""stimulus"":""img/1to3/3.png"",""time"":325},{""stimulus"":""img/1to3/4.png"",""time"":435},{""stimulus"":""img/1to3/5.png"",""time"":542},{""stimulus"":""img/1to3/6.png"",""time"":650},{""stimulus"":""img/1to3/7.png"",""time"":759},{""stimulus"":""img/1to3/8.png"",""time"":868},{""stimulus"":""img/1to3/9.png"",""time"":976},{""stimulus"":""img/1to3/10.png"",""time"":1085},{""stimulus"":""img/1to3/11.png"",""time"":1191},{""stimulus"":""img/1to3/12.png"",""time"":1300}]","[]"
"image-keyboard-response","431","446490","0.0-5.0-1.213","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/3to2/1.png","null","12","386","0.5","0.5","3","2","",""
"animation","432","447905","0.0-5.0-2.213","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","12","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":108},{""stimulus"":""img/3to2/2.png"",""time"":218},{""stimulus"":""img/3to2/3.png"",""time"":327},{""stimulus"":""img/3to2/4.png"",""time"":435},{""stimulus"":""img/3to2/5.png"",""time"":544},{""stimulus"":""img/3to2/6.png"",""time"":653},{""stimulus"":""img/3to2/7.png"",""time"":762},{""stimulus"":""img/3to2/8.png"",""time"":869},{""stimulus"":""img/3to2/9.png"",""time"":978},{""stimulus"":""img/3to2/10.png"",""time"":1086},{""stimulus"":""img/3to2/11.png"",""time"":1196},{""stimulus"":""img/3to2/12.png"",""time"":1306}]","[]"
"image-keyboard-response","433","448745","0.0-5.0-1.214","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","choice","","839","","img/2to1/1.png","1","11","550","0.5","0.5","2","1","",""
"animation","434","450158","0.0-5.0-2.214","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","11","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":110},{""stimulus"":""img/2to1/2.png"",""time"":219},{""stimulus"":""img/2to1/3.png"",""time"":328},{""stimulus"":""img/2to1/4.png"",""time"":438},{""stimulus"":""img/2to1/5.png"",""time"":545},{""stimulus"":""img/2to1/6.png"",""time"":652},{""stimulus"":""img/2to1/7.png"",""time"":761},{""stimulus"":""img/2to1/8.png"",""time"":869},{""stimulus"":""img/2to1/9.png"",""time"":977},{""stimulus"":""img/2to1/10.png"",""time"":1085},{""stimulus"":""img/2to1/11.png"",""time"":1195},{""stimulus"":""img/2to1/12.png"",""time"":1303}]","[]"
"image-keyboard-response","435","450437","0.0-5.0-1.215","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/1to3/1.png","null","10","265","0.5","0.5","1","3","",""
"animation","436","451857","0.0-5.0-2.215","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","10","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":217},{""stimulus"":""img/1to3/3.png"",""time"":325},{""stimulus"":""img/1to3/4.png"",""time"":433},{""stimulus"":""img/1to3/5.png"",""time"":543},{""stimulus"":""img/1to3/6.png"",""time"":652},{""stimulus"":""img/1to3/7.png"",""time"":761},{""stimulus"":""img/1to3/8.png"",""time"":871},{""stimulus"":""img/1to3/9.png"",""time"":980},{""stimulus"":""img/1to3/10.png"",""time"":1088},{""stimulus"":""img/1to3/11.png"",""time"":1198},{""stimulus"":""img/1to3/12.png"",""time"":1308}]","[]"
"image-keyboard-response","437","452826","0.0-5.0-1.216","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/3to2/1.png","null","9","965","0.5","0.5","3","1","",""
"animation","438","454245","0.0-5.0-2.216","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","9","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":110},{""stimulus"":""img/3to1/2.png"",""time"":219},{""stimulus"":""img/3to1/3.png"",""time"":327},{""stimulus"":""img/3to1/4.png"",""time"":433},{""stimulus"":""img/3to1/5.png"",""time"":543},{""stimulus"":""img/3to1/6.png"",""time"":654},{""stimulus"":""img/3to1/7.png"",""time"":764},{""stimulus"":""img/3to1/8.png"",""time"":875},{""stimulus"":""img/3to1/9.png"",""time"":984},{""stimulus"":""img/3to1/10.png"",""time"":1093},{""stimulus"":""img/3to1/11.png"",""time"":1201},{""stimulus"":""img/3to1/12.png"",""time"":1310}]","[]"
"image-keyboard-response","439","454838","0.0-5.0-1.217","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/1to3/1.png","null","8","585","0.5","0.5","1","3","",""
"animation","440","456257","0.0-5.0-2.217","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","8","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":217},{""stimulus"":""img/1to3/3.png"",""time"":326},{""stimulus"":""img/1to3/4.png"",""time"":437},{""stimulus"":""img/1to3/5.png"",""time"":549},{""stimulus"":""img/1to3/6.png"",""time"":657},{""stimulus"":""img/1to3/7.png"",""time"":765},{""stimulus"":""img/1to3/8.png"",""time"":875},{""stimulus"":""img/1to3/9.png"",""time"":983},{""stimulus"":""img/1to3/10.png"",""time"":1093},{""stimulus"":""img/1to3/11.png"",""time"":1202},{""stimulus"":""img/1to3/12.png"",""time"":1312}]","[]"
"image-keyboard-response","441","456993","0.0-5.0-1.218","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/3to2/1.png","null","7","734","0.5","0.5","3","1","",""
"animation","442","458406","0.0-5.0-2.218","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","7","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":110},{""stimulus"":""img/3to1/2.png"",""time"":218},{""stimulus"":""img/3to1/3.png"",""time"":325},{""stimulus"":""img/3to1/4.png"",""time"":435},{""stimulus"":""img/3to1/5.png"",""time"":544},{""stimulus"":""img/3to1/6.png"",""time"":654},{""stimulus"":""img/3to1/7.png"",""time"":763},{""stimulus"":""img/3to1/8.png"",""time"":871},{""stimulus"":""img/3to1/9.png"",""time"":978},{""stimulus"":""img/3to1/10.png"",""time"":1087},{""stimulus"":""img/3to1/11.png"",""time"":1194},{""stimulus"":""img/3to1/12.png"",""time"":1305}]","[]"
"image-keyboard-response","443","458797","0.0-5.0-1.219","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/1to3/1.png","null","6","384","0.5","0.5","1","3","",""
"animation","444","460208","0.0-5.0-2.219","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","6","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":217},{""stimulus"":""img/1to3/3.png"",""time"":325},{""stimulus"":""img/1to3/4.png"",""time"":435},{""stimulus"":""img/1to3/5.png"",""time"":544},{""stimulus"":""img/1to3/6.png"",""time"":652},{""stimulus"":""img/1to3/7.png"",""time"":759},{""stimulus"":""img/1to3/8.png"",""time"":869},{""stimulus"":""img/1to3/9.png"",""time"":977},{""stimulus"":""img/1to3/10.png"",""time"":1085},{""stimulus"":""img/1to3/11.png"",""time"":1192},{""stimulus"":""img/1to3/12.png"",""time"":1302}]","[]"
"image-keyboard-response","445","460628","0.0-5.0-1.220","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","observe","","null","","img/3to2/1.png","null","5","416","0.5","0.5","3","1","",""
"animation","446","462051","0.0-5.0-2.220","636598a7a571403968d03bf2","bdp_cybrbll","Wed Mar 29 2023 18:20:41 GMT-0400 (Eastern Daylight Time)","470164","1","3","","","","","","","","","","5","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":220},{""stimulus"":""img/3to1/3.png"",""time"":329},{""stimulus"":""img/3to1/4.png"",""time"":438},{""stimulus"":""img/3to1/5.png"",""time"":547},{""stimulus"":""img/3to1/6.png"",""time"":657},{""stimulus"":""img/3to1/7.png"",""time"":766},{""stimulus"":""img/3to1/8.png"",""time"":878},{""stimulus"":""img/3to1/9.png"",""time"":987},{""stimulus"":""img/3to1/10.png"",""time"":1095},{""stimulus"":""img/3to1/11.png"",""time"":1204},{""stimulus"":""img/3to1/12.png"",""time"":1314}]","[]"
