"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","7","0.0-0.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","focus","1","894","focusevent","","","","","","","","","","","","",""
"instructions","1","3351","0.0-1.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","[{""page_index"":0,""viewing_time"":3343}]","3343","","","","","","","","","","",""
"","","","","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","fullscreenexit","2","5436","fullscreenexit","","","","","","","","","","","","",""
"fullscreen","2","6223","0.0-2.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","true","","","","","","","","","",""
"image-keyboard-response","3","7626","0.0-3.0-0.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","fullscreenfail","","1400","","","32","","","","","","","",""
"instructions","4","20863","0.0-4.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","[{""page_index"":0,""viewing_time"":12982}]","12982","","","","","","","","","","",""
"image-keyboard-response","5","22558","0.0-5.0-1.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","choice","","1694","","img/2to1/1.png","1","225","493","0.5","0.5","2","1","",""
"animation","6","23892","0.0-5.0-2.0","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":309},{""stimulus"":""img/2to1/4.png"",""time"":412},{""stimulus"":""img/2to1/5.png"",""time"":511},{""stimulus"":""img/2to1/6.png"",""time"":611},{""stimulus"":""img/2to1/7.png"",""time"":713},{""stimulus"":""img/2to1/8.png"",""time"":817},{""stimulus"":""img/2to1/9.png"",""time"":922},{""stimulus"":""img/2to1/10.png"",""time"":1025},{""stimulus"":""img/2to1/11.png"",""time"":1129},{""stimulus"":""img/2to1/12.png"",""time"":1229}]","[]"
"image-keyboard-response","7","24433","0.0-5.0-1.1","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/1to3/1.png","null","224","535","0.5","0.5","1","3","",""
"animation","8","25766","0.0-5.0-2.1","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":105},{""stimulus"":""img/1to3/2.png"",""time"":205},{""stimulus"":""img/1to3/3.png"",""time"":305},{""stimulus"":""img/1to3/4.png"",""time"":409},{""stimulus"":""img/1to3/5.png"",""time"":512},{""stimulus"":""img/1to3/6.png"",""time"":616},{""stimulus"":""img/1to3/7.png"",""time"":720},{""stimulus"":""img/1to3/8.png"",""time"":822},{""stimulus"":""img/1to3/9.png"",""time"":922},{""stimulus"":""img/1to3/10.png"",""time"":1026},{""stimulus"":""img/1to3/11.png"",""time"":1130},{""stimulus"":""img/1to3/12.png"",""time"":1231}]","[]"
"image-keyboard-response","9","26143","0.0-5.0-1.2","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/3to2/1.png","null","223","371","0.5","0.5","3","2","",""
"animation","10","27464","0.0-5.0-2.2","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","223","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":101},{""stimulus"":""img/3to2/2.png"",""time"":203},{""stimulus"":""img/3to2/3.png"",""time"":306},{""stimulus"":""img/3to2/4.png"",""time"":408},{""stimulus"":""img/3to2/5.png"",""time"":508},{""stimulus"":""img/3to2/6.png"",""time"":612},{""stimulus"":""img/3to2/7.png"",""time"":711},{""stimulus"":""img/3to2/8.png"",""time"":812},{""stimulus"":""img/3to2/9.png"",""time"":912},{""stimulus"":""img/3to2/10.png"",""time"":1012},{""stimulus"":""img/3to2/11.png"",""time"":1115},{""stimulus"":""img/3to2/12.png"",""time"":1218}]","[]"
"image-keyboard-response","11","28172","0.0-5.0-1.3","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","choice","","707","","img/2to1/1.png","1","222","630","0.5","0.5","2","1","",""
"animation","12","29499","0.0-5.0-2.3","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","222","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":103},{""stimulus"":""img/2to1/2.png"",""time"":204},{""stimulus"":""img/2to1/3.png"",""time"":305},{""stimulus"":""img/2to1/4.png"",""time"":406},{""stimulus"":""img/2to1/5.png"",""time"":508},{""stimulus"":""img/2to1/6.png"",""time"":607},{""stimulus"":""img/2to1/7.png"",""time"":712},{""stimulus"":""img/2to1/8.png"",""time"":816},{""stimulus"":""img/2to1/9.png"",""time"":916},{""stimulus"":""img/2to1/10.png"",""time"":1020},{""stimulus"":""img/2to1/11.png"",""time"":1124},{""stimulus"":""img/2to1/12.png"",""time"":1224}]","[]"
"image-keyboard-response","13","29895","0.0-5.0-1.4","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/1to3/1.png","null","221","391","0.5","0.5","1","3","",""
"animation","14","31229","0.0-5.0-2.4","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","221","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":100},{""stimulus"":""img/1to3/2.png"",""time"":202},{""stimulus"":""img/1to3/3.png"",""time"":307},{""stimulus"":""img/1to3/4.png"",""time"":410},{""stimulus"":""img/1to3/5.png"",""time"":511},{""stimulus"":""img/1to3/6.png"",""time"":616},{""stimulus"":""img/1to3/7.png"",""time"":720},{""stimulus"":""img/1to3/8.png"",""time"":823},{""stimulus"":""img/1to3/9.png"",""time"":922},{""stimulus"":""img/1to3/10.png"",""time"":1026},{""stimulus"":""img/1to3/11.png"",""time"":1129},{""stimulus"":""img/1to3/12.png"",""time"":1232}]","[]"
"image-keyboard-response","15","31618","0.0-5.0-1.5","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/3to2/1.png","null","220","384","0.5","0.5","3","1","",""
"animation","16","32939","0.0-5.0-2.5","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","220","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":106},{""stimulus"":""img/3to1/2.png"",""time"":206},{""stimulus"":""img/3to1/3.png"",""time"":306},{""stimulus"":""img/3to1/4.png"",""time"":407},{""stimulus"":""img/3to1/5.png"",""time"":511},{""stimulus"":""img/3to1/6.png"",""time"":612},{""stimulus"":""img/3to1/7.png"",""time"":711},{""stimulus"":""img/3to1/8.png"",""time"":812},{""stimulus"":""img/3to1/9.png"",""time"":915},{""stimulus"":""img/3to1/10.png"",""time"":1016},{""stimulus"":""img/3to1/11.png"",""time"":1119},{""stimulus"":""img/3to1/12.png"",""time"":1218}]","[]"
"image-keyboard-response","17","33193","0.0-5.0-1.6","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/1to3/1.png","null","219","250","0.5","0.5","1","3","",""
"animation","18","34519","0.0-5.0-2.6","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","219","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":99},{""stimulus"":""img/1to3/2.png"",""time"":204},{""stimulus"":""img/1to3/3.png"",""time"":304},{""stimulus"":""img/1to3/4.png"",""time"":404},{""stimulus"":""img/1to3/5.png"",""time"":505},{""stimulus"":""img/1to3/6.png"",""time"":610},{""stimulus"":""img/1to3/7.png"",""time"":710},{""stimulus"":""img/1to3/8.png"",""time"":813},{""stimulus"":""img/1to3/9.png"",""time"":917},{""stimulus"":""img/1to3/10.png"",""time"":1021},{""stimulus"":""img/1to3/11.png"",""time"":1120},{""stimulus"":""img/1to3/12.png"",""time"":1224}]","[]"
"image-keyboard-response","19","35655","0.0-5.0-1.7","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/3to2/1.png","null","218","1131","0.5","0.5","3","1","",""
"animation","20","36998","0.0-5.0-2.7","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","218","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":104},{""stimulus"":""img/3to1/2.png"",""time"":207},{""stimulus"":""img/3to1/3.png"",""time"":308},{""stimulus"":""img/3to1/4.png"",""time"":413},{""stimulus"":""img/3to1/5.png"",""time"":513},{""stimulus"":""img/3to1/6.png"",""time"":617},{""stimulus"":""img/3to1/7.png"",""time"":721},{""stimulus"":""img/3to1/8.png"",""time"":824},{""stimulus"":""img/3to1/9.png"",""time"":926},{""stimulus"":""img/3to1/10.png"",""time"":1030},{""stimulus"":""img/3to1/11.png"",""time"":1134},{""stimulus"":""img/3to1/12.png"",""time"":1238}]","[]"
"image-keyboard-response","21","37987","0.0-5.0-1.8","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","observe","","null","","img/1to3/1.png","null","217","986","0.5","0.5","1","2","",""
"animation","22","39313","0.0-5.0-2.8","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","217","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":102},{""stimulus"":""img/1to2/2.png"",""time"":205},{""stimulus"":""img/1to2/3.png"",""time"":306},{""stimulus"":""img/1to2/4.png"",""time"":410},{""stimulus"":""img/1to2/5.png"",""time"":509},{""stimulus"":""img/1to2/6.png"",""time"":614},{""stimulus"":""img/1to2/7.png"",""time"":717},{""stimulus"":""img/1to2/8.png"",""time"":818},{""stimulus"":""img/1to2/9.png"",""time"":917},{""stimulus"":""img/1to2/10.png"",""time"":1018},{""stimulus"":""img/1to2/11.png"",""time"":1118},{""stimulus"":""img/1to2/12.png"",""time"":1222}]","[]"
"image-keyboard-response","23","39709","0.0-5.0-1.9","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","choice","","396","","img/2to1/1.png","2","216","500","0.5","0.5","2","3","",""
"animation","24","41039","0.0-5.0-2.9","63d80b500adef5b476e289a5","bdp_cybrbll","Tue Mar 28 2023 13:20:23 GMT-0400 (Eastern Daylight Time)","433862","1","3","","","","","","","","","","216","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":105},{""stimulus"":""img/2to3/2.png"",""time"":208},{""stimulus"":""img/2to3/3.png"",""time"":312},{""stimulus"":""img/2to3/4.png"",""time"":416},{""stimulus"":""img/2to3/5.png"",""time"":516},{""stimulus"":""img/2to3/6.png"",""time"":620},{""stimulus"":""img/2to3/7.png"",""time"":724},{""stimulus"":""img/2to3/8.png"",""time"":828},{""stimulus"":""img/2to3/9.png"",""time"":930},{""stimulus"":""img/2to3/10.png"",""time"":1030},{""stimulus"":""img/2to3/11.png"",""time"":1131},{""stimulus"":""img/2to3/12.png"",""time"":1230}]","[]"
