"event","trial","time","trialtype","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"focus","0","0","focusevent","","","","","","","","","","","","","","","","","",""
"","","","","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","","",""
"","","","","instructions","1","12596","0.0-1.0","[{""page_index"":0,""viewing_time"":12590}]","12590","","","","","","","","","","","",""
"fullscreenexit","2","18550","fullscreenexit","","","","","","","","","","","","","","","","","",""
"","","","","fullscreen","2","19376","0.0-2.0","","","true","","","","","","","","","","",""
"","","","fullscreenfail","image-keyboard-response","3","25093","0.0-3.0-0.0","","5714","","","32","","","","","","","","",""
"","","","","instructions","4","66369","0.0-4.0","[{""page_index"":0,""viewing_time"":41025}]","41025","","","","","","","","","","","",""
"","","","choice","image-keyboard-response","5","70871","0.0-5.0-1.0","","4501","","img/2to1/1.png","1","225","911","0.5","0.5","2","1","","",""
"","","","","animation","6","72324","0.0-5.0-2.0","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":110},{""stimulus"":""img/2to1/2.png"",""time"":222},{""stimulus"":""img/2to1/3.png"",""time"":334},{""stimulus"":""img/2to1/4.png"",""time"":446},{""stimulus"":""img/2to1/5.png"",""time"":558},{""stimulus"":""img/2to1/6.png"",""time"":670},{""stimulus"":""img/2to1/7.png"",""time"":781},{""stimulus"":""img/2to1/8.png"",""time"":894},{""stimulus"":""img/2to1/9.png"",""time"":1006},{""stimulus"":""img/2to1/10.png"",""time"":1117},{""stimulus"":""img/2to1/11.png"",""time"":1230},{""stimulus"":""img/2to1/12.png"",""time"":1341}]","[]",""
"","","","observe","image-keyboard-response","7","73582","0.0-5.0-1.1","","null","","img/1to3/1.png","null","224","1249","0.5","0.5","1","3","","",""
"","","","","animation","8","75034","0.0-5.0-2.1","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":112},{""stimulus"":""img/1to3/2.png"",""time"":223},{""stimulus"":""img/1to3/3.png"",""time"":335},{""stimulus"":""img/1to3/4.png"",""time"":447},{""stimulus"":""img/1to3/5.png"",""time"":559},{""stimulus"":""img/1to3/6.png"",""time"":669},{""stimulus"":""img/1to3/7.png"",""time"":781},{""stimulus"":""img/1to3/8.png"",""time"":894},{""stimulus"":""img/1to3/9.png"",""time"":1004},{""stimulus"":""img/1to3/10.png"",""time"":1116},{""stimulus"":""img/1to3/11.png"",""time"":1229},{""stimulus"":""img/1to3/12.png"",""time"":1340}]","[]",""
"","","","observe","image-keyboard-response","9","75354","0.0-5.0-1.2","","null","","img/3to2/1.png","null","223","312","0.5","0.5","3","1","","",""
"blur","10","76224","blurevent","","","","","","","","","","","","","","","","","","1"
"blur","10","76224","","animation","10","76809","0.0-5.0-2.2","","","","","","223","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":113},{""stimulus"":""img/3to1/2.png"",""time"":224},{""stimulus"":""img/3to1/3.png"",""time"":335},{""stimulus"":""img/3to1/4.png"",""time"":448},{""stimulus"":""img/3to1/5.png"",""time"":560},{""stimulus"":""img/3to1/6.png"",""time"":672},{""stimulus"":""img/3to1/7.png"",""time"":783},{""stimulus"":""img/3to1/8.png"",""time"":896},{""stimulus"":""img/3to1/9.png"",""time"":1007},{""stimulus"":""img/3to1/10.png"",""time"":1119},{""stimulus"":""img/3to1/11.png"",""time"":1231},{""stimulus"":""img/3to1/12.png"",""time"":1343}]","[]","1"
"focus","11","81234","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","87148","blurevent","","","","","","","","","","","","","","","","","","2"
"focus","11","91856","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","94988","blurevent","","","","","","","","","","","","","","","","","",""
"focus","11","101456","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","104786","blurevent","","","","","","","","","","","","","","","","","",""
"focus","11","107688","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","115802","blurevent","","","","","","","","","","","","","","","","","",""
"focus","11","118043","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","121126","blurevent","","","","","","","","","","","","","","","","","",""
"focus","11","124375","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","125922","blurevent","","","","","","","","","","","","","","","","","",""
"focus","11","128021","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","130210","blurevent","","","","","","","","","","","","","","","","","",""
"fullscreenexit","11","131212","fullscreenexit","","","","","","","","","","","","","","","","","",""
"focus","11","132270","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","135306","blurevent","","","","","","","","","","","","","","","","","",""
"focus","11","137759","focusevent","","","","","","","","","","","","","","","","","",""
"blur","11","139235","blurevent","","","","","","","","","","","","","","","","","",""
