"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","success","stimulus","key_press","trialtype","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","4","0.0-0.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","","","","","","","",""
"instructions","1","4066","0.0-1.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","[{""page_index"":0,""viewing_time"":4060}]","4060","","","","","","","","","","","",""
"fullscreen","2","6153","0.0-2.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","true","","","","","","","","","","",""
"image-keyboard-response","3","7927","0.0-3.0-0.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","1772","","","32","fullscreenfail","","","","","","","",""
"instructions","4","27813","0.0-4.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","[{""page_index"":0,""viewing_time"":19625}]","19625","","","","","","","","","","","",""
"image-keyboard-response","5","29526","0.0-5.0-1.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","1710","","img/2to1/1.png","2","choice","225","672","0.5","0.5","2","3","",""
"animation","6","30819","0.0-5.0-2.0","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":110},{""stimulus"":""img/2to3/2.png"",""time"":201},{""stimulus"":""img/2to3/3.png"",""time"":311},{""stimulus"":""img/2to3/4.png"",""time"":406},{""stimulus"":""img/2to3/5.png"",""time"":499},{""stimulus"":""img/2to3/6.png"",""time"":607},{""stimulus"":""img/2to3/7.png"",""time"":701},{""stimulus"":""img/2to3/8.png"",""time"":795},{""stimulus"":""img/2to3/9.png"",""time"":903},{""stimulus"":""img/2to3/10.png"",""time"":997},{""stimulus"":""img/2to3/11.png"",""time"":1092},{""stimulus"":""img/2to3/12.png"",""time"":1200}]","[]"
"image-keyboard-response","7","31346","0.0-5.0-1.1","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","224","522","0.5","0.5","3","2","",""
"animation","8","32634","0.0-5.0-2.1","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","224","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":202},{""stimulus"":""img/3to2/3.png"",""time"":312},{""stimulus"":""img/3to2/4.png"",""time"":408},{""stimulus"":""img/3to2/5.png"",""time"":501},{""stimulus"":""img/3to2/6.png"",""time"":609},{""stimulus"":""img/3to2/7.png"",""time"":694},{""stimulus"":""img/3to2/8.png"",""time"":797},{""stimulus"":""img/3to2/9.png"",""time"":908},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1097},{""stimulus"":""img/3to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","9","33146","0.0-5.0-1.2","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","511","","img/2to1/1.png","2","choice","223","198","0.5","0.5","2","3","",""
"animation","10","34434","0.0-5.0-2.2","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":200},{""stimulus"":""img/2to3/3.png"",""time"":310},{""stimulus"":""img/2to3/4.png"",""time"":405},{""stimulus"":""img/2to3/5.png"",""time"":497},{""stimulus"":""img/2to3/6.png"",""time"":605},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":795},{""stimulus"":""img/2to3/9.png"",""time"":904},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1092},{""stimulus"":""img/2to3/12.png"",""time"":1202}]","[]"
"image-keyboard-response","11","34642","0.0-5.0-1.3","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","222","197","0.5","0.5","3","2","",""
"animation","12","35936","0.0-5.0-2.3","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","222","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":203},{""stimulus"":""img/3to2/3.png"",""time"":311},{""stimulus"":""img/3to2/4.png"",""time"":406},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":608},{""stimulus"":""img/3to2/7.png"",""time"":701},{""stimulus"":""img/3to2/8.png"",""time"":796},{""stimulus"":""img/3to2/9.png"",""time"":892},{""stimulus"":""img/3to2/10.png"",""time"":999},{""stimulus"":""img/3to2/11.png"",""time"":1090},{""stimulus"":""img/3to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","13","36328","0.0-5.0-1.4","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","390","","img/2to1/1.png","2","choice","221","404","0.5","0.5","2","3","",""
"animation","14","37631","0.0-5.0-2.4","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","221","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":107},{""stimulus"":""img/2to3/2.png"",""time"":198},{""stimulus"":""img/2to3/3.png"",""time"":309},{""stimulus"":""img/2to3/4.png"",""time"":401},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":602},{""stimulus"":""img/2to3/7.png"",""time"":697},{""stimulus"":""img/2to3/8.png"",""time"":805},{""stimulus"":""img/2to3/9.png"",""time"":898},{""stimulus"":""img/2to3/10.png"",""time"":1006},{""stimulus"":""img/2to3/11.png"",""time"":1102},{""stimulus"":""img/2to3/12.png"",""time"":1195}]","[]"
"image-keyboard-response","15","38564","0.0-5.0-1.5","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","220","919","0.5","0.5","3","1","",""
"animation","16","39859","0.0-5.0-2.5","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","220","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":115},{""stimulus"":""img/3to1/2.png"",""time"":201},{""stimulus"":""img/3to1/3.png"",""time"":310},{""stimulus"":""img/3to1/4.png"",""time"":403},{""stimulus"":""img/3to1/5.png"",""time"":498},{""stimulus"":""img/3to1/6.png"",""time"":594},{""stimulus"":""img/3to1/7.png"",""time"":702},{""stimulus"":""img/3to1/8.png"",""time"":795},{""stimulus"":""img/3to1/9.png"",""time"":905},{""stimulus"":""img/3to1/10.png"",""time"":997},{""stimulus"":""img/3to1/11.png"",""time"":1091},{""stimulus"":""img/3to1/12.png"",""time"":1199}]","[]"
"image-keyboard-response","17","41429","0.0-5.0-1.6","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","219","1569","0.5","0.5","1","2","",""
"animation","18","42723","0.0-5.0-2.6","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","219","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":202},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":406},{""stimulus"":""img/1to2/5.png"",""time"":500},{""stimulus"":""img/1to2/6.png"",""time"":609},{""stimulus"":""img/1to2/7.png"",""time"":703},{""stimulus"":""img/1to2/8.png"",""time"":798},{""stimulus"":""img/1to2/9.png"",""time"":891},{""stimulus"":""img/1to2/10.png"",""time"":1000},{""stimulus"":""img/1to2/11.png"",""time"":1092},{""stimulus"":""img/1to2/12.png"",""time"":1202}]","[]"
"image-keyboard-response","19","43375","0.0-5.0-1.7","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","651","","img/2to1/1.png","1","choice","218","394","0.5","0.5","2","1","",""
"animation","20","44670","0.0-5.0-2.7","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","218","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":113},{""stimulus"":""img/2to1/2.png"",""time"":205},{""stimulus"":""img/2to1/3.png"",""time"":313},{""stimulus"":""img/2to1/4.png"",""time"":396},{""stimulus"":""img/2to1/5.png"",""time"":499},{""stimulus"":""img/2to1/6.png"",""time"":608},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":795},{""stimulus"":""img/2to1/9.png"",""time"":903},{""stimulus"":""img/2to1/10.png"",""time"":996},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1200}]","[]"
"image-keyboard-response","21","44824","0.0-5.0-1.8","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","217","149","0.5","0.5","1","2","",""
"animation","22","46128","0.0-5.0-2.8","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","217","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":200},{""stimulus"":""img/1to2/3.png"",""time"":313},{""stimulus"":""img/1to2/4.png"",""time"":406},{""stimulus"":""img/1to2/5.png"",""time"":501},{""stimulus"":""img/1to2/6.png"",""time"":609},{""stimulus"":""img/1to2/7.png"",""time"":703},{""stimulus"":""img/1to2/8.png"",""time"":796},{""stimulus"":""img/1to2/9.png"",""time"":904},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1093},{""stimulus"":""img/1to2/12.png"",""time"":1202}]","[]"
"image-keyboard-response","23","46280","0.0-5.0-1.9","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","151","","img/2to1/1.png","1","choice","216","443","0.5","0.5","2","1","",""
"animation","24","47568","0.0-5.0-2.9","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","216","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":104},{""stimulus"":""img/2to1/2.png"",""time"":213},{""stimulus"":""img/2to1/3.png"",""time"":306},{""stimulus"":""img/2to1/4.png"",""time"":398},{""stimulus"":""img/2to1/5.png"",""time"":507},{""stimulus"":""img/2to1/6.png"",""time"":603},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":805},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":992},{""stimulus"":""img/2to1/11.png"",""time"":1101},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","25","47801","0.0-5.0-1.10","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","215","218","0.5","0.5","1","2","",""
"animation","26","49094","0.0-5.0-2.10","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","215","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":202},{""stimulus"":""img/1to2/3.png"",""time"":312},{""stimulus"":""img/1to2/4.png"",""time"":397},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":605},{""stimulus"":""img/1to2/7.png"",""time"":693},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":902},{""stimulus"":""img/1to2/10.png"",""time"":996},{""stimulus"":""img/1to2/11.png"",""time"":1091},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","27","49260","0.0-5.0-1.11","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","166","","img/2to1/1.png","1","choice","214","463","0.5","0.5","2","1","",""
"animation","28","50549","0.0-5.0-2.11","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","214","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":101},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":302},{""stimulus"":""img/2to1/4.png"",""time"":411},{""stimulus"":""img/2to1/5.png"",""time"":504},{""stimulus"":""img/2to1/6.png"",""time"":596},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":798},{""stimulus"":""img/2to1/9.png"",""time"":908},{""stimulus"":""img/2to1/10.png"",""time"":999},{""stimulus"":""img/2to1/11.png"",""time"":1092},{""stimulus"":""img/2to1/12.png"",""time"":1202}]","[]"
"image-keyboard-response","29","51101","0.0-5.0-1.12","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","213","548","0.5","0.5","1","2","",""
"animation","30","52397","0.0-5.0-2.12","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","213","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":198},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":400},{""stimulus"":""img/1to2/5.png"",""time"":495},{""stimulus"":""img/1to2/6.png"",""time"":610},{""stimulus"":""img/1to2/7.png"",""time"":693},{""stimulus"":""img/1to2/8.png"",""time"":796},{""stimulus"":""img/1to2/9.png"",""time"":906},{""stimulus"":""img/1to2/10.png"",""time"":999},{""stimulus"":""img/1to2/11.png"",""time"":1093},{""stimulus"":""img/1to2/12.png"",""time"":1202}]","[]"
"image-keyboard-response","31","52620","0.0-5.0-1.13","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","221","","img/2to1/1.png","1","choice","212","1016","0.5","0.5","2","1","",""
"animation","32","53909","0.0-5.0-2.13","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","212","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":103},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":305},{""stimulus"":""img/2to1/4.png"",""time"":398},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":602},{""stimulus"":""img/2to1/7.png"",""time"":695},{""stimulus"":""img/2to1/8.png"",""time"":804},{""stimulus"":""img/2to1/9.png"",""time"":899},{""stimulus"":""img/2to1/10.png"",""time"":992},{""stimulus"":""img/2to1/11.png"",""time"":1103},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","33","54498","0.0-5.0-1.14","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","211","575","0.5","0.5","1","3","",""
"animation","34","55785","0.0-5.0-2.14","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","211","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":199},{""stimulus"":""img/1to3/3.png"",""time"":311},{""stimulus"":""img/1to3/4.png"",""time"":404},{""stimulus"":""img/1to3/5.png"",""time"":498},{""stimulus"":""img/1to3/6.png"",""time"":607},{""stimulus"":""img/1to3/7.png"",""time"":700},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":903},{""stimulus"":""img/1to3/10.png"",""time"":998},{""stimulus"":""img/1to3/11.png"",""time"":1092},{""stimulus"":""img/1to3/12.png"",""time"":1200}]","[]"
"image-keyboard-response","35","56568","0.0-5.0-1.15","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","210","777","0.5","0.5","3","1","",""
"animation","36","57859","0.0-5.0-2.15","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","210","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":111},{""stimulus"":""img/3to1/2.png"",""time"":199},{""stimulus"":""img/3to1/3.png"",""time"":299},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":499},{""stimulus"":""img/3to1/6.png"",""time"":609},{""stimulus"":""img/3to1/7.png"",""time"":694},{""stimulus"":""img/3to1/8.png"",""time"":796},{""stimulus"":""img/3to1/9.png"",""time"":905},{""stimulus"":""img/3to1/10.png"",""time"":991},{""stimulus"":""img/3to1/11.png"",""time"":1090},{""stimulus"":""img/3to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","37","58342","0.0-5.0-1.16","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","209","471","0.5","0.5","1","2","",""
"animation","38","59630","0.0-5.0-2.16","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","209","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":203},{""stimulus"":""img/1to2/3.png"",""time"":312},{""stimulus"":""img/1to2/4.png"",""time"":405},{""stimulus"":""img/1to2/5.png"",""time"":497},{""stimulus"":""img/1to2/6.png"",""time"":604},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":816},{""stimulus"":""img/1to2/9.png"",""time"":902},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1199}]","[]"
"image-keyboard-response","39","59917","0.0-5.0-1.17","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","287","","img/2to1/1.png","1","choice","208","345","0.5","0.5","2","1","",""
"animation","40","61207","0.0-5.0-2.17","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","208","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":309},{""stimulus"":""img/2to1/4.png"",""time"":403},{""stimulus"":""img/2to1/5.png"",""time"":512},{""stimulus"":""img/2to1/6.png"",""time"":604},{""stimulus"":""img/2to1/7.png"",""time"":703},{""stimulus"":""img/2to1/8.png"",""time"":807},{""stimulus"":""img/2to1/9.png"",""time"":901},{""stimulus"":""img/2to1/10.png"",""time"":993},{""stimulus"":""img/2to1/11.png"",""time"":1102},{""stimulus"":""img/2to1/12.png"",""time"":1198}]","[]"
"image-keyboard-response","41","61579","0.0-5.0-1.18","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","207","363","0.5","0.5","1","2","",""
"animation","42","62875","0.0-5.0-2.18","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","207","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":203},{""stimulus"":""img/1to2/3.png"",""time"":312},{""stimulus"":""img/1to2/4.png"",""time"":407},{""stimulus"":""img/1to2/5.png"",""time"":501},{""stimulus"":""img/1to2/6.png"",""time"":604},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":798},{""stimulus"":""img/1to2/9.png"",""time"":907},{""stimulus"":""img/1to2/10.png"",""time"":999},{""stimulus"":""img/1to2/11.png"",""time"":1094},{""stimulus"":""img/1to2/12.png"",""time"":1201}]","[]"
"image-keyboard-response","43","63121","0.0-5.0-1.19","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","245","","img/2to1/1.png","2","choice","206","877","0.5","0.5","2","3","",""
"animation","44","64409","0.0-5.0-2.19","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","206","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":102},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":298},{""stimulus"":""img/2to3/4.png"",""time"":407},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":610},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":797},{""stimulus"":""img/2to3/9.png"",""time"":905},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1104},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","45","64848","0.0-5.0-1.20","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","205","432","0.5","0.5","3","2","",""
"animation","46","66139","0.0-5.0-2.20","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","205","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":313},{""stimulus"":""img/3to2/4.png"",""time"":398},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":607},{""stimulus"":""img/3to2/7.png"",""time"":694},{""stimulus"":""img/3to2/8.png"",""time"":795},{""stimulus"":""img/3to2/9.png"",""time"":902},{""stimulus"":""img/3to2/10.png"",""time"":991},{""stimulus"":""img/3to2/11.png"",""time"":1090},{""stimulus"":""img/3to2/12.png"",""time"":1198}]","[]"
"image-keyboard-response","47","66422","0.0-5.0-1.21","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","281","","img/2to1/1.png","2","choice","204","269","0.5","0.5","2","3","",""
"animation","48","67710","0.0-5.0-2.21","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","204","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":106},{""stimulus"":""img/2to3/2.png"",""time"":215},{""stimulus"":""img/2to3/3.png"",""time"":308},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":510},{""stimulus"":""img/2to3/6.png"",""time"":604},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":805},{""stimulus"":""img/2to3/9.png"",""time"":898},{""stimulus"":""img/2to3/10.png"",""time"":992},{""stimulus"":""img/2to3/11.png"",""time"":1102},{""stimulus"":""img/2to3/12.png"",""time"":1196}]","[]"
"image-keyboard-response","49","68957","0.0-5.0-1.22","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","203","1239","0.5","0.5","3","2","",""
"animation","50","70245","0.0-5.0-2.22","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","203","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":204},{""stimulus"":""img/3to2/3.png"",""time"":311},{""stimulus"":""img/3to2/4.png"",""time"":405},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":608},{""stimulus"":""img/3to2/7.png"",""time"":702},{""stimulus"":""img/3to2/8.png"",""time"":795},{""stimulus"":""img/3to2/9.png"",""time"":904},{""stimulus"":""img/3to2/10.png"",""time"":998},{""stimulus"":""img/3to2/11.png"",""time"":1091},{""stimulus"":""img/3to2/12.png"",""time"":1201}]","[]"
"image-keyboard-response","51","70600","0.0-5.0-1.23","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","353","","img/2to1/1.png","2","choice","202","776","0.5","0.5","2","3","",""
