"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","success","stimulus","key_press","trialtype","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"animation","150","165674","0.0-5.0-2.72","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","153","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":201},{""stimulus"":""img/1to3/3.png"",""time"":310},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":604},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":808},{""stimulus"":""img/1to3/9.png"",""time"":902},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1104},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","151","166171","0.0-5.0-1.73","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","152","492","0.5","0.5","3","2","",""
"animation","152","167461","0.0-5.0-2.73","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","152","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":200},{""stimulus"":""img/3to2/3.png"",""time"":310},{""stimulus"":""img/3to2/4.png"",""time"":403},{""stimulus"":""img/3to2/5.png"",""time"":497},{""stimulus"":""img/3to2/6.png"",""time"":606},{""stimulus"":""img/3to2/7.png"",""time"":699},{""stimulus"":""img/3to2/8.png"",""time"":793},{""stimulus"":""img/3to2/9.png"",""time"":901},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1104},{""stimulus"":""img/3to2/12.png"",""time"":1198}]","[]"
"image-keyboard-response","153","167481","0.0-5.0-1.74","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","19","","img/2to1/1.png","2","choice","151","853","0.5","0.5","2","3","",""
"animation","154","168769","0.0-5.0-2.74","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","151","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":107},{""stimulus"":""img/2to3/2.png"",""time"":201},{""stimulus"":""img/2to3/3.png"",""time"":311},{""stimulus"":""img/2to3/4.png"",""time"":405},{""stimulus"":""img/2to3/5.png"",""time"":505},{""stimulus"":""img/2to3/6.png"",""time"":608},{""stimulus"":""img/2to3/7.png"",""time"":702},{""stimulus"":""img/2to3/8.png"",""time"":793},{""stimulus"":""img/2to3/9.png"",""time"":907},{""stimulus"":""img/2to3/10.png"",""time"":1000},{""stimulus"":""img/2to3/11.png"",""time"":1094},{""stimulus"":""img/2to3/12.png"",""time"":1203}]","[]"
"image-keyboard-response","155","169708","0.0-5.0-1.75","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","150","923","0.5","0.5","3","2","",""
"animation","156","171000","0.0-5.0-2.75","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","150","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":203},{""stimulus"":""img/3to2/3.png"",""time"":312},{""stimulus"":""img/3to2/4.png"",""time"":397},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":611},{""stimulus"":""img/3to2/7.png"",""time"":703},{""stimulus"":""img/3to2/8.png"",""time"":796},{""stimulus"":""img/3to2/9.png"",""time"":895},{""stimulus"":""img/3to2/10.png"",""time"":998},{""stimulus"":""img/3to2/11.png"",""time"":1091},{""stimulus"":""img/3to2/12.png"",""time"":1191}]","[]"
"image-keyboard-response","157","171666","0.0-5.0-1.76","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","665","","img/2to1/1.png","2","choice","149","429","0.5","0.1","2","3","",""
"animation","158","172965","0.0-5.0-2.76","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","149","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":103},{""stimulus"":""img/2to3/2.png"",""time"":199},{""stimulus"":""img/2to3/3.png"",""time"":304},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":507},{""stimulus"":""img/2to3/6.png"",""time"":605},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":802},{""stimulus"":""img/2to3/9.png"",""time"":895},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1099},{""stimulus"":""img/2to3/12.png"",""time"":1192}]","[]"
"image-keyboard-response","159","173370","0.0-5.0-1.77","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","148","392","0.5","0.1","3","1","",""
