"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"focus","0","0","focusevent","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","","","","","","","","","","","","","","","","",""
"","","","","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","pavlovia","0","6","0.0-0.0","","","","","","","","","","","","",""
"","","","","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","instructions","1","3953","0.0-1.0","[{""page_index"":0,""viewing_time"":3946}]","3946","","","","","","","","","","",""
"fullscreenexit","2","8573","fullscreenexit","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","","","","","","","","","","","","","","","","",""
"","","","","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","fullscreen","2","9347","0.0-2.0","","","true","","","","","","","","","",""
"","","","fullscreenfail","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","image-keyboard-response","3","13990","0.0-3.0-0.0","","4641","","","32","","","","","","","",""
"","","","","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","instructions","4","48728","0.0-4.0","[{""page_index"":0,""viewing_time"":34479}]","34479","","","","","","","","","","",""
"","","","choice","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","image-keyboard-response","5","50204","0.0-5.0-1.0","","1476","","img/2to1/1.png","1","225","162","0.5","0.5","2","1","",""
"","","","","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","animation","6","51618","0.0-5.0-2.0","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":113},{""stimulus"":""img/2to1/2.png"",""time"":222},{""stimulus"":""img/2to1/3.png"",""time"":330},{""stimulus"":""img/2to1/4.png"",""time"":438},{""stimulus"":""img/2to1/5.png"",""time"":547},{""stimulus"":""img/2to1/6.png"",""time"":656},{""stimulus"":""img/2to1/7.png"",""time"":764},{""stimulus"":""img/2to1/8.png"",""time"":872},{""stimulus"":""img/2to1/9.png"",""time"":981},{""stimulus"":""img/2to1/10.png"",""time"":1089},{""stimulus"":""img/2to1/11.png"",""time"":1197},{""stimulus"":""img/2to1/12.png"",""time"":1305}]","[]"
"","","","observe","640132934d00561d78518c4c","bdp_cybrbll","Mon Mar 27 2023 14:45:30 GMT-0400 (Eastern Daylight Time)","473431","1","3","image-keyboard-response","7","51931","0.0-5.0-1.1","","null","","img/1to3/1.png","null","224","306","0.5","0.5","1","2","",""
