"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","8","0.0-0.0","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","","","","","","","","","","","","","",""
"","","","","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","focus","1","9932","focusevent","","","","","","","","","","","","",""
"instructions","1","14049","0.0-1.0","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","","[{""page_index"":0,""viewing_time"":14041}]","14041","","","","","","","","","","",""
"","","","","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","fullscreenenter","2","16304","fullscreenenter","","","","","","","","","","","","",""
"fullscreen","2","17293","0.0-2.0","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","55911","0.0-4.0","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","","[{""page_index"":0,""viewing_time"":38617}]","38617","","","","","","","","","","",""
"image-keyboard-response","4","58908","0.0-5.0-1.0","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","choice","","2995","","img/2to1/1.png","1","225","420","0.5","0.5","2","1","",""
"animation","5","60202","0.0-5.0-2.0","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":103},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":308},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":597},{""stimulus"":""img/2to1/7.png"",""time"":693},{""stimulus"":""img/2to1/8.png"",""time"":797},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":997},{""stimulus"":""img/2to1/11.png"",""time"":1093},{""stimulus"":""img/2to1/12.png"",""time"":1197}]","[]"
"image-keyboard-response","6","60594","0.0-5.0-1.1","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","observe","","null","","img/1to3/1.png","null","224","382","0.5","0.5","1","3","",""
"animation","7","61890","0.0-5.0-2.1","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":112},{""stimulus"":""img/1to3/2.png"",""time"":206},{""stimulus"":""img/1to3/3.png"",""time"":303},{""stimulus"":""img/1to3/4.png"",""time"":407},{""stimulus"":""img/1to3/5.png"",""time"":503},{""stimulus"":""img/1to3/6.png"",""time"":599},{""stimulus"":""img/1to3/7.png"",""time"":703},{""stimulus"":""img/1to3/8.png"",""time"":799},{""stimulus"":""img/1to3/9.png"",""time"":903},{""stimulus"":""img/1to3/10.png"",""time"":995},{""stimulus"":""img/1to3/11.png"",""time"":1095},{""stimulus"":""img/1to3/12.png"",""time"":1199}]","[]"
"image-keyboard-response","8","62266","0.0-5.0-1.2","5c9432caec114b0001419276","bdp_cybrbll","Sun Mar 26 2023 15:48:21 GMT-0500 (Central Daylight Time)","454559","1","3","","","","observe","","null","","img/3to2/1.png","null","223","363","0.5","0.5","3","2","",""
