"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","3","0.0-0.0","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","","","","","","","","",""
"instructions","1","2425","0.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","[{""page_index"":0,""viewing_time"":2421}]","2421","","","","","","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","fullscreenenter","2","4055","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","5051","0.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","true","","","","","","","","","","",""
"","","","","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","fullscreenexit","3","5432","fullscreenexit","","","","","","","","","","","",""
"instructions","3","15859","0.0-4.0","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","[{""page_index"":0,""viewing_time"":10808}]","10808","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","17410","0.0-5.0-1.0","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","1549","","","","choice","","img/2to1/1.png","2","225","189","0.5","0.5","2","3","","",""
"animation","5","18706","0.0-5.0-2.0","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","225","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":104},{""stimulus"":""img/2to3/2.png"",""time"":200},{""stimulus"":""img/2to3/3.png"",""time"":304},{""stimulus"":""img/2to3/4.png"",""time"":401},{""stimulus"":""img/2to3/5.png"",""time"":504},{""stimulus"":""img/2to3/6.png"",""time"":604},{""stimulus"":""img/2to3/7.png"",""time"":695},{""stimulus"":""img/2to3/8.png"",""time"":799},{""stimulus"":""img/2to3/9.png"",""time"":900},{""stimulus"":""img/2to3/10.png"",""time"":995},{""stimulus"":""img/2to3/11.png"",""time"":1097},{""stimulus"":""img/2to3/12.png"",""time"":1191}]","[]",""
"image-keyboard-response","6","19573","0.0-5.0-1.1","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/3to2/1.png","null","224","858","0.5","0.5","3","2","","",""
"animation","7","20867","0.0-5.0-2.1","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","224","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":105},{""stimulus"":""img/3to2/2.png"",""time"":209},{""stimulus"":""img/3to2/3.png"",""time"":301},{""stimulus"":""img/3to2/4.png"",""time"":404},{""stimulus"":""img/3to2/5.png"",""time"":501},{""stimulus"":""img/3to2/6.png"",""time"":601},{""stimulus"":""img/3to2/7.png"",""time"":702},{""stimulus"":""img/3to2/8.png"",""time"":799},{""stimulus"":""img/3to2/9.png"",""time"":896},{""stimulus"":""img/3to2/10.png"",""time"":996},{""stimulus"":""img/3to2/11.png"",""time"":1093},{""stimulus"":""img/3to2/12.png"",""time"":1198}]","[]",""
"image-keyboard-response","8","34454","0.0-5.0-1.2","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","13586","","","","choice","","img/2to1/1.png","2","223","177","0.5","0.5","2","3","","",""
"animation","9","35747","0.0-5.0-2.2","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":112},{""stimulus"":""img/2to3/2.png"",""time"":205},{""stimulus"":""img/2to3/3.png"",""time"":299},{""stimulus"":""img/2to3/4.png"",""time"":406},{""stimulus"":""img/2to3/5.png"",""time"":499},{""stimulus"":""img/2to3/6.png"",""time"":600},{""stimulus"":""img/2to3/7.png"",""time"":701},{""stimulus"":""img/2to3/8.png"",""time"":795},{""stimulus"":""img/2to3/9.png"",""time"":903},{""stimulus"":""img/2to3/10.png"",""time"":995},{""stimulus"":""img/2to3/11.png"",""time"":1093},{""stimulus"":""img/2to3/12.png"",""time"":1200}]","[]",""
"image-keyboard-response","10","35929","0.0-5.0-1.3","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/3to2/1.png","null","222","175","0.5","0.5","3","2","","",""
"animation","11","37219","0.0-5.0-2.3","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","222","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":105},{""stimulus"":""img/3to2/2.png"",""time"":203},{""stimulus"":""img/3to2/3.png"",""time"":305},{""stimulus"":""img/3to2/4.png"",""time"":404},{""stimulus"":""img/3to2/5.png"",""time"":501},{""stimulus"":""img/3to2/6.png"",""time"":604},{""stimulus"":""img/3to2/7.png"",""time"":701},{""stimulus"":""img/3to2/8.png"",""time"":801},{""stimulus"":""img/3to2/9.png"",""time"":901},{""stimulus"":""img/3to2/10.png"",""time"":996},{""stimulus"":""img/3to2/11.png"",""time"":1097},{""stimulus"":""img/3to2/12.png"",""time"":1194}]","[]",""
"image-keyboard-response","12","37806","0.0-5.0-1.4","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","587","","","","choice","","img/2to1/1.png","1","221","222","0.5","0.5","2","1","","",""
"animation","13","39102","0.0-5.0-2.4","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","221","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":107},{""stimulus"":""img/2to1/2.png"",""time"":208},{""stimulus"":""img/2to1/3.png"",""time"":299},{""stimulus"":""img/2to1/4.png"",""time"":408},{""stimulus"":""img/2to1/5.png"",""time"":499},{""stimulus"":""img/2to1/6.png"",""time"":598},{""stimulus"":""img/2to1/7.png"",""time"":699},{""stimulus"":""img/2to1/8.png"",""time"":795},{""stimulus"":""img/2to1/9.png"",""time"":900},{""stimulus"":""img/2to1/10.png"",""time"":998},{""stimulus"":""img/2to1/11.png"",""time"":1094},{""stimulus"":""img/2to1/12.png"",""time"":1200}]","[]",""
"image-keyboard-response","14","39546","0.0-5.0-1.5","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/1to3/1.png","null","220","440","0.5","0.5","1","2","","",""
"animation","15","40845","0.0-5.0-2.5","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","220","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":107},{""stimulus"":""img/1to2/2.png"",""time"":201},{""stimulus"":""img/1to2/3.png"",""time"":308},{""stimulus"":""img/1to2/4.png"",""time"":399},{""stimulus"":""img/1to2/5.png"",""time"":507},{""stimulus"":""img/1to2/6.png"",""time"":599},{""stimulus"":""img/1to2/7.png"",""time"":698},{""stimulus"":""img/1to2/8.png"",""time"":800},{""stimulus"":""img/1to2/9.png"",""time"":897},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1098},{""stimulus"":""img/1to2/12.png"",""time"":1196}]","[]",""
"image-keyboard-response","16","40854","0.0-5.0-1.6","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","9","","","","choice","","img/2to1/1.png","1","219","555","0.5","0.5","2","1","","",""
"animation","17","42146","0.0-5.0-2.6","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","219","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":109},{""stimulus"":""img/2to1/2.png"",""time"":202},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":402},{""stimulus"":""img/2to1/5.png"",""time"":502},{""stimulus"":""img/2to1/6.png"",""time"":605},{""stimulus"":""img/2to1/7.png"",""time"":703},{""stimulus"":""img/2to1/8.png"",""time"":796},{""stimulus"":""img/2to1/9.png"",""time"":901},{""stimulus"":""img/2to1/10.png"",""time"":994},{""stimulus"":""img/2to1/11.png"",""time"":1091},{""stimulus"":""img/2to1/12.png"",""time"":1195}]","[]",""
"image-keyboard-response","18","42929","0.0-5.0-1.7","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/1to3/1.png","null","218","778","0.5","0.5","1","3","","",""
"animation","19","44221","0.0-5.0-2.7","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","218","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":106},{""stimulus"":""img/1to3/2.png"",""time"":205},{""stimulus"":""img/1to3/3.png"",""time"":305},{""stimulus"":""img/1to3/4.png"",""time"":402},{""stimulus"":""img/1to3/5.png"",""time"":501},{""stimulus"":""img/1to3/6.png"",""time"":605},{""stimulus"":""img/1to3/7.png"",""time"":697},{""stimulus"":""img/1to3/8.png"",""time"":800},{""stimulus"":""img/1to3/9.png"",""time"":901},{""stimulus"":""img/1to3/10.png"",""time"":993},{""stimulus"":""img/1to3/11.png"",""time"":1098},{""stimulus"":""img/1to3/12.png"",""time"":1193}]","[]",""
"image-keyboard-response","20","45075","0.0-5.0-1.8","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/3to2/1.png","null","217","849","0.5","0.5","3","1","","",""
"animation","21","46372","0.0-5.0-2.8","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","217","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":107},{""stimulus"":""img/3to1/2.png"",""time"":210},{""stimulus"":""img/3to1/3.png"",""time"":307},{""stimulus"":""img/3to1/4.png"",""time"":399},{""stimulus"":""img/3to1/5.png"",""time"":502},{""stimulus"":""img/3to1/6.png"",""time"":598},{""stimulus"":""img/3to1/7.png"",""time"":702},{""stimulus"":""img/3to1/8.png"",""time"":798},{""stimulus"":""img/3to1/9.png"",""time"":898},{""stimulus"":""img/3to1/10.png"",""time"":1000},{""stimulus"":""img/3to1/11.png"",""time"":1098},{""stimulus"":""img/3to1/12.png"",""time"":1190}]","[]",""
"image-keyboard-response","22","46674","0.0-5.0-1.9","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/1to3/1.png","null","216","297","0.5","0.5","1","3","","",""
"animation","23","47973","0.0-5.0-2.9","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","","","","","","","","","216","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":107},{""stimulus"":""img/1to3/2.png"",""time"":208},{""stimulus"":""img/1to3/3.png"",""time"":304},{""stimulus"":""img/1to3/4.png"",""time"":400},{""stimulus"":""img/1to3/5.png"",""time"":507},{""stimulus"":""img/1to3/6.png"",""time"":603},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":799},{""stimulus"":""img/1to3/9.png"",""time"":899},{""stimulus"":""img/1to3/10.png"",""time"":1003},{""stimulus"":""img/1to3/11.png"",""time"":1099},{""stimulus"":""img/1to3/12.png"",""time"":1190}]","[]",""
"image-keyboard-response","24","48170","0.0-5.0-1.10","63d82d20ed2b67b4f77f1fc7","bdp_cybrbll","Mon Mar 27 2023 07:09:23 GMT-0700 (Pacific Daylight Time)","469928","3","1","","null","","","","observe","","img/3to2/1.png","null","215","194","0.5","0.5","3","2","","",""
