"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","14","0.0-0.0","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","","","","","","","","","","","","","","","","",""
"instructions","1","6098","0.0-1.0","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","[{""page_index"":0,""viewing_time"":6082}]","6083","","","","","","","","","","","","","","","",""
"","","","","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","","fullscreenenter","2","11023","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","11839","0.0-2.0","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","","","","","","true","","","","","","","","","","",""
"instructions","3","61433","0.0-4.0","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","[{""page_index"":0,""viewing_time"":49583}]","49583","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","62683","0.0-5.0-1.0","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","1229","","","","choice","","img/2to1/1.png","1","225","836","0.5","0.5","2","1","","",""
"animation","5","63975","0.0-5.0-2.0","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":102},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":298},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":497},{""stimulus"":""img/2to1/6.png"",""time"":612},{""stimulus"":""img/2to1/7.png"",""time"":695},{""stimulus"":""img/2to1/8.png"",""time"":794},{""stimulus"":""img/2to1/9.png"",""time"":893},{""stimulus"":""img/2to1/10.png"",""time"":994},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1190}]","[]",""
"image-keyboard-response","6","64261","0.0-5.0-1.1","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","null","","","","observe","","img/1to3/1.png","null","224","282","0.5","0.5","1","2","","",""
"animation","7","65549","0.0-5.0-2.1","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","","","","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":102},{""stimulus"":""img/1to2/2.png"",""time"":200},{""stimulus"":""img/1to2/3.png"",""time"":300},{""stimulus"":""img/1to2/4.png"",""time"":398},{""stimulus"":""img/1to2/5.png"",""time"":497},{""stimulus"":""img/1to2/6.png"",""time"":596},{""stimulus"":""img/1to2/7.png"",""time"":695},{""stimulus"":""img/1to2/8.png"",""time"":795},{""stimulus"":""img/1to2/9.png"",""time"":894},{""stimulus"":""img/1to2/10.png"",""time"":993},{""stimulus"":""img/1to2/11.png"",""time"":1092},{""stimulus"":""img/1to2/12.png"",""time"":1190}]","[]",""
"image-keyboard-response","8","66031","0.0-5.0-1.2","63d7a6a997f03198526a1941","bdp_cybrbll","Sun Mar 26 2023 19:53:03 GMT+0800 (China Standard Time)","465322","3","1","","476","","","","choice","","img/2to1/1.png","1","223","341","0.5","0.5","2","1","","",""
