"trial_type","trial_index","time_elapsed","internal_node_id","event","trial","time","trialtype","view_history","rt","success","numBlurs"
"pavlovia","0","12","0.0-0.0","","","","","","","",""
"","","","","focus","1","736","focusevent","","","",""
"instructions","1","7905","0.0-1.0","","","","","[{""page_index"":0,""viewing_time"":7893}]","7893","",""
"","","","","fullscreenenter","2","9527","fullscreenenter","","","",""
"fullscreen","2","10504","0.0-2.0","","","","","","","true",""
"instructions","3","220250","0.0-4.0","","","","","[{""page_index"":0,""viewing_time"":209745}]","209745","",""
"","","","","fullscreenexit","4","263487","fullscreenexit","","","",""
"","","","","blur","4","269386","blurevent","","","","1"
"","","","","focus","4","269388","focusevent","","","",""
