"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"blur","0","0","blurevent","1","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","","","","","","","","","","","","","","","","",""
"blur","0","0","blurevent","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","","","","","","","","","","","","","","","","",""
"focus","0","0","focusevent","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","","","","","","","","","","","","","","","","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","pavlovia","0","3","0.0-0.0","","","","","","","","","","","","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","instructions","1","12912","0.0-1.0","[{""page_index"":0,""viewing_time"":12908}]","12908","","","","","","","","","","",""
"fullscreenenter","2","15794","fullscreenenter","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","","","","","","","","","","","","","","","","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","fullscreen","2","16765","0.0-2.0","","","true","","","","","","","","","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","instructions","3","46992","0.0-4.0","[{""page_index"":0,""viewing_time"":30225}]","30225","","","","","","","","","","",""
"","","","blurwarn","1","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","4","58697","0.0-5.0-0.0-0.0","","11704","","","49","","","","","","","",""
"","","","choice","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","5","64067","0.0-5.0-1.0","","5112","","img/2to1/1.png","1","225","263","0.5","0.5","2","1","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","6","65356","0.0-5.0-2.0","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":101},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":308},{""stimulus"":""img/2to1/4.png"",""time"":403},{""stimulus"":""img/2to1/5.png"",""time"":498},{""stimulus"":""img/2to1/6.png"",""time"":608},{""stimulus"":""img/2to1/7.png"",""time"":701},{""stimulus"":""img/2to1/8.png"",""time"":797},{""stimulus"":""img/2to1/9.png"",""time"":906},{""stimulus"":""img/2to1/10.png"",""time"":992},{""stimulus"":""img/2to1/11.png"",""time"":1094},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"","","","observe","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","7","66204","0.0-5.0-1.1","","null","","img/1to3/1.png","null","224","834","0.5","0.5","1","2","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","8","67492","0.0-5.0-2.1","","","","","","224","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":409},{""stimulus"":""img/1to2/5.png"",""time"":503},{""stimulus"":""img/1to2/6.png"",""time"":596},{""stimulus"":""img/1to2/7.png"",""time"":704},{""stimulus"":""img/1to2/8.png"",""time"":799},{""stimulus"":""img/1to2/9.png"",""time"":892},{""stimulus"":""img/1to2/10.png"",""time"":1002},{""stimulus"":""img/1to2/11.png"",""time"":1093},{""stimulus"":""img/1to2/12.png"",""time"":1202}]","[]"
"","","","choice","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","9","67937","0.0-5.0-1.2","","445","","img/2to1/1.png","2","223","341","0.5","0.5","2","3","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","10","69236","0.0-5.0-2.2","","","","","","223","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":109},{""stimulus"":""img/2to3/2.png"",""time"":204},{""stimulus"":""img/2to3/3.png"",""time"":313},{""stimulus"":""img/2to3/4.png"",""time"":405},{""stimulus"":""img/2to3/5.png"",""time"":499},{""stimulus"":""img/2to3/6.png"",""time"":608},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":799},{""stimulus"":""img/2to3/9.png"",""time"":893},{""stimulus"":""img/2to3/10.png"",""time"":1001},{""stimulus"":""img/2to3/11.png"",""time"":1096},{""stimulus"":""img/2to3/12.png"",""time"":1204}]","[]"
"","","","observe","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","11","69576","0.0-5.0-1.3","","null","","img/3to2/1.png","null","222","339","0.5","0.5","3","2","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","12","70870","0.0-5.0-2.3","","","","","","222","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":205},{""stimulus"":""img/3to2/3.png"",""time"":312},{""stimulus"":""img/3to2/4.png"",""time"":405},{""stimulus"":""img/3to2/5.png"",""time"":499},{""stimulus"":""img/3to2/6.png"",""time"":606},{""stimulus"":""img/3to2/7.png"",""time"":699},{""stimulus"":""img/3to2/8.png"",""time"":794},{""stimulus"":""img/3to2/9.png"",""time"":892},{""stimulus"":""img/3to2/10.png"",""time"":991},{""stimulus"":""img/3to2/11.png"",""time"":1089},{""stimulus"":""img/3to2/12.png"",""time"":1200}]","[]"
"","","","choice","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","13","71517","0.0-5.0-1.4","","646","","img/2to1/1.png","1","221","131","0.5","0.5","2","1","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","14","72815","0.0-5.0-2.4","","","","","","221","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":211},{""stimulus"":""img/2to1/3.png"",""time"":306},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":596},{""stimulus"":""img/2to1/7.png"",""time"":698},{""stimulus"":""img/2to1/8.png"",""time"":794},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":997},{""stimulus"":""img/2to1/11.png"",""time"":1091},{""stimulus"":""img/2to1/12.png"",""time"":1203}]","[]"
"","","","observe","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","15","73002","0.0-5.0-1.5","","null","","img/1to3/1.png","null","220","185","0.5","0.5","1","2","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","16","74299","0.0-5.0-2.5","","","","","","220","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":114},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":303},{""stimulus"":""img/1to2/4.png"",""time"":397},{""stimulus"":""img/1to2/5.png"",""time"":508},{""stimulus"":""img/1to2/6.png"",""time"":602},{""stimulus"":""img/1to2/7.png"",""time"":693},{""stimulus"":""img/1to2/8.png"",""time"":807},{""stimulus"":""img/1to2/9.png"",""time"":903},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1093},{""stimulus"":""img/1to2/12.png"",""time"":1196}]","[]"
"","","","choice","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","image-keyboard-response","17","75560","0.0-5.0-1.6","","1260","","img/2to1/1.png","2","219","513","0.5","0.5","2","3","",""
"","","","","","63ed4bdcb1977e991fe4f095","bdp_cybrbll","Sat Mar 25 2023 21:16:59 GMT-0500 (Central Daylight Time)","476631","1","3","animation","18","76859","0.0-5.0-2.6","","","","","","219","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":202},{""stimulus"":""img/2to3/3.png"",""time"":312},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":500},{""stimulus"":""img/2to3/6.png"",""time"":595},{""stimulus"":""img/2to3/7.png"",""time"":704},{""stimulus"":""img/2to3/8.png"",""time"":793},{""stimulus"":""img/2to3/9.png"",""time"":892},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1096},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
