"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"image-keyboard-response","237","583990","0.0-5.0-1.116","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/3to2/1.png","null","109","858","0.5","0.1","3","1","",""
"animation","238","585277","0.0-5.0-2.116","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","109","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":99},{""stimulus"":""img/3to1/2.png"",""time"":200},{""stimulus"":""img/3to1/3.png"",""time"":299},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":497},{""stimulus"":""img/3to1/6.png"",""time"":595},{""stimulus"":""img/3to1/7.png"",""time"":694},{""stimulus"":""img/3to1/8.png"",""time"":795},{""stimulus"":""img/3to1/9.png"",""time"":892},{""stimulus"":""img/3to1/10.png"",""time"":992},{""stimulus"":""img/3to1/11.png"",""time"":1091},{""stimulus"":""img/3to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","239","585543","0.0-5.0-1.117","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/1to3/1.png","null","108","265","0.5","0.1","1","3","",""
"animation","240","586832","0.0-5.0-2.117","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","108","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":100},{""stimulus"":""img/1to3/2.png"",""time"":199},{""stimulus"":""img/1to3/3.png"",""time"":298},{""stimulus"":""img/1to3/4.png"",""time"":398},{""stimulus"":""img/1to3/5.png"",""time"":495},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":892},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1091},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","241","587276","0.0-5.0-1.118","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/3to2/1.png","null","107","442","0.5","0.1","3","1","",""
"animation","242","588563","0.0-5.0-2.118","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","107","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":102},{""stimulus"":""img/3to1/2.png"",""time"":200},{""stimulus"":""img/3to1/3.png"",""time"":299},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":595},{""stimulus"":""img/3to1/7.png"",""time"":694},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":892},{""stimulus"":""img/3to1/10.png"",""time"":992},{""stimulus"":""img/3to1/11.png"",""time"":1090},{""stimulus"":""img/3to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","243","588854","0.0-5.0-1.119","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/1to3/1.png","null","106","289","0.5","0.1","1","3","",""
"animation","244","590143","0.0-5.0-2.119","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","106","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":100},{""stimulus"":""img/1to3/2.png"",""time"":199},{""stimulus"":""img/1to3/3.png"",""time"":299},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":497},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":893},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1090},{""stimulus"":""img/1to3/12.png"",""time"":1188}]","[]"
"image-keyboard-response","245","590410","0.0-5.0-1.120","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/3to2/1.png","null","105","265","0.5","0.1","3","1","",""
"animation","246","591698","0.0-5.0-2.120","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","105","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":101},{""stimulus"":""img/3to1/2.png"",""time"":199},{""stimulus"":""img/3to1/3.png"",""time"":299},{""stimulus"":""img/3to1/4.png"",""time"":396},{""stimulus"":""img/3to1/5.png"",""time"":495},{""stimulus"":""img/3to1/6.png"",""time"":595},{""stimulus"":""img/3to1/7.png"",""time"":694},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":892},{""stimulus"":""img/3to1/10.png"",""time"":991},{""stimulus"":""img/3to1/11.png"",""time"":1089},{""stimulus"":""img/3to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","247","592025","0.0-5.0-1.121","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/1to3/1.png","null","104","325","0.5","0.1","1","3","",""
"animation","248","593312","0.0-5.0-2.121","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","104","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":100},{""stimulus"":""img/1to3/2.png"",""time"":200},{""stimulus"":""img/1to3/3.png"",""time"":299},{""stimulus"":""img/1to3/4.png"",""time"":398},{""stimulus"":""img/1to3/5.png"",""time"":495},{""stimulus"":""img/1to3/6.png"",""time"":594},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":891},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1090},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","249","593737","0.0-5.0-1.122","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/3to2/1.png","null","103","423","0.5","0.1","3","2","",""
"animation","250","595036","0.0-5.0-2.122","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","103","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":101},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":299},{""stimulus"":""img/3to2/4.png"",""time"":398},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":595},{""stimulus"":""img/3to2/7.png"",""time"":695},{""stimulus"":""img/3to2/8.png"",""time"":794},{""stimulus"":""img/3to2/9.png"",""time"":892},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1091},{""stimulus"":""img/3to2/12.png"",""time"":1190}]","[]"
"image-keyboard-response","251","595245","0.0-5.0-1.123","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","208","","","","choice","","","img/2to1/1.png","1","102","529","0.5","0.1","2","1","",""
"animation","252","596534","0.0-5.0-2.123","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","102","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":299},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":596},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":794},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1090},{""stimulus"":""img/2to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","253","597156","0.0-5.0-1.124","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/1to3/1.png","null","101","621","0.5","0.1","1","3","",""
"animation","254","598445","0.0-5.0-2.124","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","","","","","","","","","","101","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":100},{""stimulus"":""img/1to3/2.png"",""time"":199},{""stimulus"":""img/1to3/3.png"",""time"":297},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":695},{""stimulus"":""img/1to3/8.png"",""time"":792},{""stimulus"":""img/1to3/9.png"",""time"":891},{""stimulus"":""img/1to3/10.png"",""time"":991},{""stimulus"":""img/1to3/11.png"",""time"":1089},{""stimulus"":""img/1to3/12.png"",""time"":1188}]","[]"
"image-keyboard-response","255","598732","0.0-5.0-1.125","63d3fb1c82d319ac2f752d80","bdp_cybrbll","Wed Mar 29 2023 19:58:46 GMT-0400 (Eastern Daylight Time)","778035","1","3","","null","","","","observe","","","img/3to2/1.png","null","100","285","0.5","0.1","3","1","",""
