"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","numBlurs"
"pavlovia","0","2","0.0-0.0","","","","","","",""
"instructions","1","24398","0.0-1.0","[{""page_index"":0,""viewing_time"":24396}]","24396","","","","",""
"","","","","","","blur","2","28475","blurevent","1"
