"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","3","0.0-0.0","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","","","","","","","","","","","","","","","",""
"instructions","1","3018","0.0-1.0","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","[{""page_index"":0,""viewing_time"":3014}]","3014","","","","","","","","","","","","","","","",""
"","","","","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","blur","2","6737","blurevent","1","","","","","","","","","","",""
"","","","","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","focus","2","8507","focusevent","","","","","","","","","","","",""
"","","","","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","blur","2","9819","blurevent","","","","","","","","","","","",""
"","","","","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","focus","2","11017","focusevent","","","","","","","","","","","",""
"","","","","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","fullscreenenter","2","13279","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","14254","0.0-2.0","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","","","","","","","true","","","","","","","","","",""
"instructions","3","80876","0.0-4.0","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","[{""page_index"":0,""viewing_time"":66621}]","66621","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","90773","0.0-5.0-0.0-0.0","6414cd5e294152ef610c1272","bdp_cybrbll","Sun Apr 09 2023 19:57:09 GMT-0500 (Central Daylight Time)","499776","3","1","","9895","","","","blurwarn","1","","","49","","","","","","","",""
