"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"pavlovia","0","7","0.0-0.0","","","","","","","","","","","","","","","","","",""
"instructions","1","2737","0.0-1.0","[{""page_index"":0,""viewing_time"":2729}]","2729","","","","","","","","","","","","","","","",""
"","","","","","","fullscreenenter","2","6751","fullscreenenter","","","","","","","","","","","",""
"fullscreen","2","7717","0.0-2.0","","","","","","","true","","","","","","","","","","",""
"instructions","3","11148","0.0-4.0","[{""page_index"":0,""viewing_time"":3429}]","3429","","","","","","","","","","","","","","","",""
"image-keyboard-response","4","15247","0.0-5.0-1.0","","4096","","","","choice","","img/2to1/1.png","1","225","707","0.5","0.5","2","1","","",""
"animation","5","16549","0.0-5.0-2.0","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":212},{""stimulus"":""img/2to1/3.png"",""time"":299},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":803},{""stimulus"":""img/2to1/9.png"",""time"":892},{""stimulus"":""img/2to1/10.png"",""time"":1001},{""stimulus"":""img/2to1/11.png"",""time"":1097},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]",""
"image-keyboard-response","6","16942","0.0-5.0-1.1","","null","","","","observe","","img/1to3/1.png","null","224","379","0.5","0.5","1","3","","",""
"animation","7","18240","0.0-5.0-2.1","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":200},{""stimulus"":""img/1to3/3.png"",""time"":307},{""stimulus"":""img/1to3/4.png"",""time"":400},{""stimulus"":""img/1to3/5.png"",""time"":509},{""stimulus"":""img/1to3/6.png"",""time"":602},{""stimulus"":""img/1to3/7.png"",""time"":695},{""stimulus"":""img/1to3/8.png"",""time"":805},{""stimulus"":""img/1to3/9.png"",""time"":893},{""stimulus"":""img/1to3/10.png"",""time"":1004},{""stimulus"":""img/1to3/11.png"",""time"":1090},{""stimulus"":""img/1to3/12.png"",""time"":1190}]","[]",""
"image-keyboard-response","8","18444","0.0-5.0-1.2","","null","","","","observe","","img/3to2/1.png","null","223","189","0.5","0.5","3","2","","",""
"animation","9","19742","0.0-5.0-2.2","","","","","","","","","","223","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":108},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":298},{""stimulus"":""img/3to2/4.png"",""time"":397},{""stimulus"":""img/3to2/5.png"",""time"":510},{""stimulus"":""img/3to2/6.png"",""time"":604},{""stimulus"":""img/3to2/7.png"",""time"":694},{""stimulus"":""img/3to2/8.png"",""time"":803},{""stimulus"":""img/3to2/9.png"",""time"":895},{""stimulus"":""img/3to2/10.png"",""time"":1003},{""stimulus"":""img/3to2/11.png"",""time"":1090},{""stimulus"":""img/3to2/12.png"",""time"":1189}]","[]",""
"image-keyboard-response","10","19935","0.0-5.0-1.3","","192","","","","choice","","img/2to1/1.png","2","222","406","0.5","0.5","2","3","","",""
"","","","","","","fullscreenexit","11","21220","fullscreenexit","","","","","","","","","","","",""
"animation","11","21230","0.0-5.0-2.3","","","","","","","","","","222","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":210},{""stimulus"":""img/2to3/3.png"",""time"":303},{""stimulus"":""img/2to3/4.png"",""time"":411},{""stimulus"":""img/2to3/5.png"",""time"":503},{""stimulus"":""img/2to3/6.png"",""time"":596},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":798},{""stimulus"":""img/2to3/9.png"",""time"":907},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1094},{""stimulus"":""img/2to3/12.png"",""time"":1201}]","[]",""
"image-keyboard-response","12","21770","0.0-5.0-1.4","","null","","","","observe","","img/3to2/1.png","null","221","529","0.5","0.5","3","1","","",""
"animation","13","23064","0.0-5.0-2.4","","","","","","","","","","221","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":201},{""stimulus"":""img/3to1/3.png"",""time"":298},{""stimulus"":""img/3to1/4.png"",""time"":399},{""stimulus"":""img/3to1/5.png"",""time"":506},{""stimulus"":""img/3to1/6.png"",""time"":597},{""stimulus"":""img/3to1/7.png"",""time"":706},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":907},{""stimulus"":""img/3to1/10.png"",""time"":1001},{""stimulus"":""img/3to1/11.png"",""time"":1093},{""stimulus"":""img/3to1/12.png"",""time"":1200}]","[]",""
"image-keyboard-response","14","23466","0.0-5.0-1.5","","null","","","","observe","","img/1to3/1.png","null","220","392","0.5","0.5","1","2","","",""
"","","","","","","blur","15","26329","blurevent","","","","","","","","","","","","1"
