"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","event","trial","time","trialtype","numBlurs","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","5","0.0-0.0","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","","","","","","","","","","","","","","","","","",""
"","","","","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","blur","1","2210","blurevent","1","","","","","","","","","","","","",""
"","","","","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","focus","1","15323","focusevent","","","","","","","","","","","","","",""
"instructions","1","18405","0.0-1.0","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","","","","","","[{""page_index"":0,""viewing_time"":18400}]","18400","","","","","","","","","","",""
"","","","","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","blur","2","21766","blurevent","2","","","","","","","","","","","","",""
"","","","","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","focus","2","26404","focusevent","","","","","","","","","","","","","",""
"","","","","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","fullscreenenter","2","27788","fullscreenenter","","","","","","","","","","","","","",""
"fullscreen","2","28764","0.0-2.0","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","","","","","","","","true","","","","","","","","","",""
"instructions","3","85752","0.0-4.0","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","","","","","","[{""page_index"":0,""viewing_time"":56987}]","56987","","","","","","","","","","",""
"image-keyboard-response","4","98010","0.0-5.0-0.0-0.0","60d2d061fd054556769ca306","bdp_cybrbll","Sun Mar 26 2023 10:45:32 GMT-0400 (Eastern Daylight Time)","513168","3","1","","","","blurwarn","2","","12254","","","49","","","","","","","",""
