Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
641118dff61f73216ee71614,63d007388da4ef5b301762f9,APPROVED,2023-03-15T01:01:31.593000Z,2023-03-15T01:46:50.296000Z,2023-03-15T16:05:51.696000,2023-03-15T01:46:51.350602Z,2719,70AE6036,312,English,25,Male,Asian,United States,United States,United States,English,Yes,Part-Time
6411195ec9d604f25ea861c7,615e68b3f55d1cf5f6defc2a,APPROVED,2023-03-15T01:03:30.761000Z,2023-03-15T02:08:28.821000Z,2023-03-15T16:06:00.495000,2023-03-15T02:08:29.372495Z,3899,70AE6036,394,English,38,Female,Other,United States,United States,United States,English,No,Full-Time
641119b1fdca7618a7cac69f,62f70dd38becd2f7f2ce53a8,APPROVED,2023-03-15T01:04:55.289000Z,2023-03-15T01:47:34.148000Z,2023-03-15T16:05:51.876000,2023-03-15T01:47:34.714703Z,2559,70AE6036,209,English,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
641119b4e29814be278a8177,63feb6ae378e8efd6fd318b6,APPROVED,2023-03-15T01:05:46.268000Z,2023-03-15T02:09:40.194000Z,2023-03-15T16:05:52.050000,2023-03-15T02:09:40.639523Z,3834,70AE6036,54,"Amharic, English, Swedish",18,Male,Mixed,Ethiopia,United States,United States,English,Yes,Other
641119d270961ab15b06caa1,63f969ceb2a0b028aa612b33,APPROVED,2023-03-15T01:05:22.855000Z,2023-03-15T02:05:07.622000Z,2023-03-15T16:06:00.748000,2023-03-15T02:05:07.984864Z,3585,70AE6036,93,"Albanian, English, Greek, Italian, Spanish",45,Female,White,Albania,United States,United States,Albanian,No,Full-Time
64111a8c618500de6bd5eaf1,63dc7c4191d5e30193f1db36,APPROVED,2023-03-15T01:08:37.550000Z,2023-03-15T03:23:28.624000Z,2023-03-15T16:06:00.991000,2023-03-15T03:23:29.232492Z,8092,70AE6036,264,English,35,Female,White,United States,United States,United States,English,No,Full-Time
64111abaaa849fff7885b5ad,63ead665638c8546d8c3a962,APPROVED,2023-03-15T01:09:44.788000Z,2023-03-15T02:08:36.198000Z,2023-03-15T16:06:01.230000,2023-03-15T02:08:36.670581Z,3532,70AE6036,31,English,21,Female,White,United States,United States,United States,English,No,Full-Time
64111abed023d9356485b5e7,5c5f525806006e0001db95d2,APPROVED,2023-03-15T01:09:20.829000Z,2023-03-15T02:56:16.725000Z,2023-03-15T16:05:52.228000,2023-03-15T02:56:17.193095Z,6416,70AE6036,338,"Spanish, English",29,Male,Mixed,United States,United States,United States,English,No,Full-Time
64111ac71c3e98f09315b839,63d18e630e39bc97ef16152b,APPROVED,2023-03-15T01:12:22.343000Z,2023-03-15T02:36:09.174000Z,2023-03-15T16:06:01.472000,2023-03-15T02:36:09.585211Z,5027,70AE6036,171,English,35,Female,White,United States,United States,United States,English,No,Part-Time
64111ac7ad97178e7a2e798f,63d17cf704d2d7053d56b962,APPROVED,2023-03-15T01:09:30.653000Z,2023-03-15T01:44:09.576000Z,2023-03-15T16:05:52.411000,2023-03-15T01:44:10.050072Z,2079,70AE6036,351,English,22,Male,White,United States,United States,United States,English,Yes,Full-Time
64111ad19b4b48349abc1371,5aea7d94a110a00001f7e50e,APPROVED,2023-03-15T01:10:08.132000Z,2023-03-15T01:58:41.667000Z,2023-03-15T16:05:52.591000,2023-03-15T01:58:42.050804Z,2914,70AE6036,394,English,27,Male,White,United States,United States,United States,English,Yes,Part-Time
64111af452b40593151c8b3d,63d428eb946e85527cfdf058,APPROVED,2023-03-15T01:10:18.849000Z,2023-03-15T01:55:31.899000Z,2023-03-15T16:05:52.782000,2023-03-15T01:55:32.254726Z,2714,70AE6036,363,English,21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
64111b0e12d79f759790d35b,61038afee6aa0fcfbf968e56,APPROVED,2023-03-15T01:10:41.859000Z,2023-03-15T02:21:47.920000Z,2023-03-15T16:06:01.719000,2023-03-15T02:21:48.534309Z,4267,70AE6036,96,English,21,Female,DATA_EXPIRED,United States,United States,United States,English,No,DATA_EXPIRED
64111b2c41bc28fd292e797a,63f796a016e377d12cff50f1,APPROVED,2023-03-15T01:11:14.537000Z,2023-03-15T02:20:37.431000Z,2023-03-15T16:06:01.947000,2023-03-15T02:20:37.845794Z,4163,70AE6036,55,English,40,Female,White,United States,United States,United States,English,No,Full-Time
64111b2fedb01cf8c42e7987,5c4275e526217400018bf1b4,APPROVED,2023-03-15T01:11:36.868000Z,2023-03-15T02:11:11.883000Z,2023-03-15T16:06:02.168000,2023-03-15T02:11:12.371204Z,3576,70AE6036,100,English,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64111bc599ba22b1432c9d80,60ff5fb6cbf1bb7de9bf2801,APPROVED,2023-03-15T01:13:46.471000Z,2023-03-15T02:11:40.350000Z,2023-03-15T16:06:02.368000,2023-03-15T02:11:40.777284Z,3474,70AE6036,268,English,21,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64111bcc87aef5f251e71617,63f7eb4fd0c75f760998818c,APPROVED,2023-03-15T01:13:56.470000Z,2023-03-15T02:29:17.596000Z,2023-03-15T16:06:02.591000,2023-03-15T02:29:17.990510Z,4522,70AE6036,111,English,31,Female,White,United States,United States,United States,English,No,Other
64111be802988f15385d5fa1,60ae62a5004d7bdf5428bb95,APPROVED,2023-03-15T01:22:33.502000Z,2023-03-15T02:58:05.477000Z,2023-03-15T16:06:02.822000,2023-03-15T02:58:05.874003Z,5732,70AE6036,67,English,28,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64111d2d6eb0273b03a6f63f,59aae1188cef7d00011f8884,APPROVED,2023-03-15T01:20:08.083000Z,2023-03-15T02:04:48.384000Z,2023-03-15T16:06:03.065000,2023-03-15T02:04:48.774787Z,2681,70AE6036,100,English,29,Female,Asian,United States,United States,United States,English,No,Part-Time
64111da58673b4d794e71618,5d1b0776e1c05200018b582d,APPROVED,2023-03-15T01:21:55.088000Z,2023-03-15T02:55:04.443000Z,2023-03-15T16:06:03.304000,2023-03-15T02:55:04.928422Z,5590,70AE6036,391,"English, Spanish",35,Female,Other,United States,United States,United States,English,No,Full-Time
64111e72af168cb12d591698,6400df3b4bd1fb13b52727fe,APPROVED,2023-03-15T01:25:23.345000Z,2023-03-15T02:38:13.006000Z,2023-03-15T16:06:03.539000,2023-03-15T02:38:13.373999Z,4370,70AE6036,90,English,32,Female,Black,United States,United States,United States,English,No,Part-Time
64111ebb59d0b783f9022b1c,63fd6f98e4a77457f1b36b9a,APPROVED,2023-03-15T01:27:59.840000Z,2023-03-15T02:47:51.843000Z,2023-03-15T16:06:03.771000,2023-03-15T02:47:52.274317Z,4793,70AE6036,131,English,40,Female,White,United States,United States,United States,English,No,Part-Time
64111ec224ca5c7ac06cb6f1,63eaa9f8f0637c961dcfc277,APPROVED,2023-03-15T01:26:36.928000Z,2023-03-15T02:22:57.764000Z,2023-03-15T16:06:03.929000,2023-03-15T02:22:58.139910Z,3381,70AE6036,166,English,45,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64111ed02dd3d756c2cac659,63f77927711e9d061dbec33c,APPROVED,2023-03-15T01:26:45.781000Z,2023-03-15T02:44:16.735000Z,2023-03-15T16:06:04.090000,2023-03-15T02:44:17.093196Z,4651,70AE6036,82,English,23,Female,White,United States,United States,United States,English,Yes,Full-Time
64111f1e5dbfe52426ee8b18,63dafeda84d9a5e684adb6be,APPROVED,2023-03-15T01:28:02.154000Z,2023-03-15T02:20:14.031000Z,2023-03-15T16:06:04.241000,2023-03-15T02:20:15.006379Z,3132,70AE6036,129,English,38,Female,White,United States,United States,United States,English,No,Full-Time
