Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
640e84774359a9b463f4a713,5f43ef4041bb5f11a27aa07e,APPROVED,2023-03-13T02:03:40.075000Z,2023-03-13T03:10:51.964000Z,2023-03-13T16:00:07.583000,2023-03-13T03:10:52.382752Z,4032,70AE6036,127,English,24,Female,White,United States,United States,United States,English,Yes,Part-Time
640e849302c2a376a7ee82f3,63f2e107c4d0bc684b99d2c6,APPROVED,2023-03-13T02:04:07.587000Z,2023-03-13T03:01:57.565000Z,2023-03-13T16:00:14.100000,2023-03-13T03:01:57.960496Z,3470,70AE6036,48,English,43,Male,Black,United States,United States,United States,English,No,Full-Time
640e84fb1aa427bc97756335,5dbf692c2a1dd63f64ef5ae4,APPROVED,2023-03-13T02:05:51.450000Z,2023-03-13T03:14:21.472000Z,2023-03-13T16:00:07.731000,2023-03-13T03:14:21.891733Z,4111,70AE6036,279,English,29,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
640e86b1e7e9db945d13fab0,5fd8025bcfda8b1165a0b16e,APPROVED,2023-03-13T02:13:33.500000Z,2023-03-13T03:18:28.704000Z,2023-03-13T16:00:14.223000,2023-03-13T03:18:29.114254Z,3896,70AE6036,374,English,20,Male,White,United States,United States,United States,English,No,Full-Time
640e8dddba4f7818ab4dd05c,60f75a701ac4cfc5c17cceb7,APPROVED,2023-03-13T02:43:46.210000Z,2023-03-13T03:38:35.611000Z,2023-03-13T16:00:07.876000,2023-03-13T03:38:36.117114Z,3290,70AE6036,21,English,38,Female,White,United States,United States,United States,English,No,Full-Time
640e8e501fd6adf9cad5a1ec,60fd933d5461857048f9e74c,APPROVED,2023-03-13T02:45:44.976000Z,2023-03-13T03:32:49.365000Z,2023-03-13T16:00:08.040000,2023-03-13T03:32:49.769821Z,2825,70AE6036,352,English,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
640e8e6f9e449e69f0a9ebcc,608d0831835bd8f85ac9237e,APPROVED,2023-03-13T02:46:13.940000Z,2023-03-13T03:51:03.425000Z,2023-03-13T16:00:14.349000,2023-03-13T03:51:03.836627Z,3890,70AE6036,19,"English, Chinese",44,Male,Asian,China,United States,United States,English,No,DATA_EXPIRED
640e8f2efe303a3115e54665,5edc0583f16dff0c806bdbb6,APPROVED,2023-03-13T02:51:02.105000Z,2023-03-13T03:44:33.457000Z,2023-03-13T16:00:14.467000,2023-03-13T03:44:34.014374Z,3212,70AE6036,214,"Arabic, English",21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
640e8f7b752facb8b992d6c7,5ec0d47ecf12be4ea2754516,APPROVED,2023-03-13T02:50:46.469000Z,2023-03-13T04:09:07.354000Z,2023-03-13T16:00:14.591000,2023-03-13T04:09:07.805517Z,4701,70AE6036,123,English,44,Male,White,United States,United States,United States,English,No,Full-Time
640e8fa063229dd8b743de5c,61021c2ad3b0633be797eddf,APPROVED,2023-03-13T02:51:15.989000Z,2023-03-13T04:24:13.907000Z,2023-03-13T16:00:08.185000,2023-03-13T04:24:14.289338Z,5578,70AE6036,389,English,20,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
